utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2007.089722,-0.114400,0.107800,-1.948990,0.464541,0.000604,1279.012878,1370.987494,2007-02-03
2007.092407,-0.121100,0.108000,-1.924940,0.464670,0.000516,1279.015646,1370.990562,2007-02-04
2007.095093,-0.126000,0.108000,-1.825300,0.464805,0.000429,1279.018435,1370.993642,2007-02-05
2007.097900,-0.127600,0.107500,-1.576700,0.464934,0.000351,1279.021368,1370.996878,2007-02-06
2007.100586,-0.135700,0.108400,-1.369090,0.465069,0.000275,1279.024188,1370.999995,2007-02-07
2007.103394,-0.132500,0.107900,-1.167290,0.465198,0.000209,1279.027149,1371.003280,2007-02-08
2007.106079,-0.142700,0.107200,-1.098070,0.465326,0.000151,1279.029989,1371.006451,2007-02-09
2007.108887,-0.149400,0.105700,-0.999313,0.465461,0.000099,1279.032964,1371.009803,2007-02-10
2007.111572,-0.156100,0.105100,-0.877699,0.465590,0.000059,1279.035813,1371.013047,2007-02-11
2007.114258,-0.159600,0.104100,-0.587767,0.465725,0.000027,1279.038662,1371.016335,2007-02-12
2007.117065,-0.161200,0.103900,-0.200549,0.465854,0.000008,1279.041636,1371.019822,2007-02-13
2007.119751,-0.161100,0.105400,0.154652,0.465989,0.000000,1279.044476,1371.023211,2007-02-14
2007.122559,-0.162800,0.105400,0.558186,0.466119,0.000000,1279.047437,1371.026814,2007-02-15
2007.125244,-0.163000,0.104300,0.993347,0.466251,0.000000,1279.050256,1371.030321,2007-02-16
2007.128052,-0.164600,0.106400,1.382560,0.466392,0.000000,1279.053189,1371.034056,2007-02-17
2007.130737,-0.166100,0.107900,1.734850,0.466529,0.000000,1279.055980,1371.037683,2007-02-18
2007.133423,-0.164500,0.109000,2.066720,0.466674,0.000000,1279.058758,1371.041360,2007-02-19
2007.136230,-0.164500,0.109600,2.268350,0.466814,0.000000,1279.061646,1371.045243,2007-02-20
2007.138916,-0.164600,0.109900,2.463170,0.466962,0.000000,1279.064395,1371.048991,2007-02-21
2007.141724,-0.163000,0.110000,2.696850,0.467104,0.000000,1279.067253,1371.052932,2007-02-22
2007.144409,-0.164800,0.109100,2.967400,0.467247,0.000000,1279.069972,1371.056716,2007-02-23
2007.147217,-0.164900,0.109300,3.240730,0.467396,0.000000,1279.072800,1371.060678,2007-02-24
2007.149902,-0.171500,0.110400,3.478030,0.467539,0.000000,1279.075489,1371.064465,2007-02-25
2007.152588,-0.171500,0.110700,3.610130,0.467689,0.000000,1279.078165,1371.068242,2007-02-26
2007.155396,-0.171500,0.111600,3.654820,0.467832,0.000000,1279.080946,1371.072170,2007-02-27
2007.158081,-0.173200,0.112300,3.760420,0.467980,0.000000,1279.083591,1371.075897,2007-02-28
2007.160889,-0.169900,0.113000,3.877050,0.468120,0.000000,1279.086341,1371.079758,2007-03-01
2007.163574,-0.171700,0.112200,4.055600,0.468260,0.000000,1279.088955,1371.083404,2007-03-02
2007.166382,-0.175100,0.111500,4.269600,0.468404,0.000000,1279.091673,1371.087161,2007-03-03
2007.169067,-0.176700,0.111000,4.452140,0.468540,0.000000,1279.094257,1371.090691,2007-03-04
2007.171753,-0.171700,0.110000,4.655180,0.468680,0.000000,1279.096827,1371.094153,2007-03-05
2007.174561,-0.171700,0.109700,4.923770,0.468811,0.000000,1279.099498,1371.097690,2007-03-06
2007.177246,-0.175000,0.109600,5.111220,0.468945,0.000000,1279.102035,1371.100984,2007-03-07
2007.180054,-0.176800,0.109600,5.248300,0.469071,0.000000,1279.104673,1371.104329,2007-03-08
2007.182739,-0.176900,0.109000,5.375670,0.469193,0.000000,1279.107180,1371.107423,2007-03-09
2007.185547,-0.176900,0.107900,5.410620,0.469318,0.000000,1279.109785,1371.110540,2007-03-10
2007.188232,-0.178600,0.107500,5.433180,0.469433,0.000000,1279.112260,1371.113399,2007-03-11
2007.190918,-0.175300,0.107900,5.362240,0.469548,0.000000,1279.114720,1371.116131,2007-03-12
2007.193726,-0.173600,0.107800,5.293950,0.469655,0.000000,1279.117276,1371.118843,2007-03-13
2007.196411,-0.173700,0.108100,5.273770,0.469761,0.000000,1279.119704,1371.121289,2007-03-14
2007.199219,-0.173700,0.108700,5.313780,0.469858,0.000000,1279.122226,1371.123685,2007-03-15
2007.201904,-0.175400,0.108500,5.420580,0.469950,0.000000,1279.124621,1371.125811,2007-03-16
2007.204712,-0.177000,0.109100,5.579760,0.470041,0.000000,1279.127109,1371.127854,2007-03-17
2007.207397,-0.173600,0.109500,5.750970,0.470128,0.000000,1279.129472,1371.129627,2007-03-18
2007.210083,-0.175200,0.108600,5.907770,0.470220,0.000000,1279.131819,1371.131216,2007-03-19
2007.212891,-0.176900,0.109100,5.926210,0.470309,0.000000,1279.134251,1371.132682,2007-03-20
2007.215576,-0.173700,0.109000,5.930770,0.470402,0.000000,1279.136551,1371.133903,2007-03-21
2007.218384,-0.172000,0.108400,5.937670,0.470492,0.000000,1279.138924,1371.134998,2007-03-22
2007.221069,-0.173700,0.108200,6.079750,0.470581,0.000000,1279.141157,1371.135877,2007-03-23
2007.223877,-0.171900,0.106900,6.184940,0.470674,0.000000,1279.143449,1371.136627,2007-03-24
2007.226562,-0.171900,0.106200,6.203760,0.470763,0.000000,1279.145593,1371.137189,2007-03-25
2007.229248,-0.170200,0.105100,6.242570,0.470854,0.000000,1279.147688,1371.137605,2007-03-26
2007.232056,-0.171900,0.105100,6.447220,0.470940,0.000000,1279.149817,1371.137889,2007-03-27
2007.234741,-0.168400,0.105400,6.695860,0.471029,0.000000,1279.151791,1371.138024,2007-03-28
2007.237549,-0.173400,0.104700,6.909940,0.471112,0.000000,1279.153784,1371.138029,2007-03-29
2007.240234,-0.173200,0.104000,7.171460,0.471193,0.000000,1279.155617,1371.137908,2007-03-30
2007.243042,-0.176400,0.103000,7.538230,0.471275,0.000000,1279.157452,1371.137658,2007-03-31
2007.245728,-0.177900,0.102200,7.905250,0.471351,0.000000,1279.159124,1371.137307,2007-04-01
2007.248413,-0.181200,0.102000,8.273190,0.471427,0.000000,1279.160708,1371.136851,2007-04-02
2007.251221,-0.182800,0.102800,8.634390,0.471497,0.000000,1279.162267,1371.136271,2007-04-03
2007.253906,-0.181200,0.103600,8.833960,0.471566,0.000000,1279.163658,1371.135622,2007-04-04
2007.256714,-0.179700,0.104200,8.918220,0.471629,0.000000,1279.165003,1371.134852,2007-04-05
2007.259399,-0.181200,0.104600,8.930610,0.471688,0.000000,1279.166179,1371.134034,2007-04-06
