utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2011.839844,0.094400,0.345700,4.619160,0.449444,0.000000,1279.181083,1371.057939,2011-11-04
2011.842529,0.087000,0.346100,4.287750,0.449399,0.000000,1279.181422,1371.056826,2011-11-05
2011.845337,0.087000,0.346100,4.024170,0.449356,0.000000,1279.181717,1371.055661,2011-11-06
2011.848022,0.080600,0.354300,3.862910,0.449314,0.000000,1279.181938,1371.054533,2011-11-07
2011.850830,0.087700,0.354000,3.731170,0.449270,0.000000,1279.182101,1371.053329,2011-11-08
2011.853516,0.092400,0.356700,3.596140,0.449228,0.000000,1279.182189,1371.052140,2011-11-09
2011.856201,0.095200,0.358200,3.446890,0.449185,0.000000,1279.182205,1371.050905,2011-11-10
2011.859009,0.078700,0.353600,3.282510,0.449146,0.000000,1279.182142,1371.049551,2011-11-11
2011.861694,0.083200,0.353700,3.063930,0.449106,0.000000,1279.182000,1371.048185,2011-11-12
2011.864502,0.090300,0.351400,2.835320,0.449069,0.000000,1279.181763,1371.046669,2011-11-13
2011.867188,0.096800,0.352100,2.587500,0.449034,0.000000,1279.181448,1371.045124,2011-11-14
2011.869995,0.096800,0.352100,2.307410,0.448999,0.000000,1279.181021,1371.043399,2011-11-15
2011.872681,0.096800,0.352100,1.975900,0.448966,0.000000,1279.180516,1371.041629,2011-11-16
2011.875366,0.095900,0.348500,1.657790,0.448929,0.000000,1279.179912,1371.039734,2011-11-17
2011.878174,0.094200,0.354500,1.454050,0.448892,0.000000,1279.179175,1371.037610,2011-11-18
2011.880859,0.089800,0.353800,1.268080,0.448852,0.000000,1279.178383,1371.035455,2011-11-19
2011.883667,0.098400,0.354400,1.099940,0.448812,0.000000,1279.177479,1371.033087,2011-11-20
2011.886353,0.109300,0.356900,0.869503,0.448772,0.000000,1279.176555,1371.030726,2011-11-21
2011.889160,0.107900,0.358500,0.633657,0.448728,0.000000,1279.175543,1371.028172,2011-11-22
2011.891846,0.126500,0.362200,0.364074,0.448686,0.000000,1279.174546,1371.025660,2011-11-23
2011.894531,0.124100,0.365300,0.093449,0.448641,0.000000,1279.173534,1371.023095,2011-11-24
2011.897339,0.107800,0.369700,-0.155842,0.448598,0.000000,1279.172476,1371.020371,2011-11-25
2011.900024,0.105500,0.374900,-0.359949,0.448554,0.000000,1279.171478,1371.017739,2011-11-26
2011.902832,0.105600,0.377100,-0.434819,0.448511,0.000000,1279.170464,1371.014973,2011-11-27
2011.905518,0.117900,0.381700,-0.507708,0.448468,0.000000,1279.169537,1371.012328,2011-11-28
2011.908325,0.133000,0.381500,-0.573664,0.448425,0.000000,1279.168628,1371.009579,2011-11-29
2011.911011,0.137378,0.381520,-0.622188,0.448384,0.000000,1279.167831,1371.006977,2011-11-30
2011.913696,0.140169,0.382756,-0.688513,0.448342,0.000000,1279.167120,1371.004418,2011-12-01
2011.916504,0.141200,0.384000,-0.835112,0.448303,0.000000,1279.166481,1371.001800,2011-12-02
2011.919189,0.139000,0.384500,-0.908307,0.448264,0.000000,1279.165986,1370.999367,2011-12-03
2011.921997,0.139600,0.385400,-0.893629,0.448229,0.000000,1279.165604,1370.996911,2011-12-04
2011.924683,0.147100,0.385500,-0.892842,0.448195,0.000000,1279.165383,1370.994659,2011-12-05
2011.927490,0.155320,0.386289,-0.942103,0.448162,0.000000,1279.165320,1370.992422,2011-12-06
2011.930176,0.163398,0.387213,-0.870163,0.448132,0.000000,1279.165433,1370.990407,2011-12-07
2011.932861,0.171594,0.387127,-0.842528,0.448104,0.000000,1279.165730,1370.988530,2011-12-08
2011.935669,0.180200,0.384700,-0.839959,0.448080,0.000000,1279.166253,1370.986726,2011-12-09
2011.938354,0.188500,0.380900,-0.852697,0.448057,0.000000,1279.166970,1370.985169,2011-12-10
2011.941162,0.200800,0.381600,-0.860584,0.448039,0.000000,1279.167962,1370.983729,2011-12-11
2011.943848,0.203700,0.383700,-0.884264,0.448024,0.000000,1279.169158,1370.982547,2011-12-12
2011.946655,0.210200,0.384800,-0.925519,0.448012,0.000000,1279.170681,1370.981530,2011-12-13
2011.949341,0.216124,0.385420,-1.020510,0.448004,0.000000,1279.172413,1370.980779,2011-12-14
2011.952026,0.222301,0.385880,-1.131870,0.448000,0.000000,1279.174429,1370.980260,2011-12-15
2011.954834,0.228987,0.386207,-1.218310,0.448000,0.000000,1279.176855,1370.979978,2011-12-16
2011.957520,0.235557,0.386387,-1.301960,0.448000,0.000000,1279.179494,1370.979973,2011-12-17
2011.960327,0.242561,0.386450,-1.467090,0.448000,0.000000,1279.182598,1370.980255,2011-12-18
2011.963013,0.249352,0.386407,-1.606460,0.448000,0.000000,1279.185891,1370.980797,2011-12-19
2011.965820,0.256496,0.386269,-1.718220,0.448000,0.000000,1279.189652,1370.981637,2011-12-20
2011.968506,0.263335,0.386063,-1.709780,0.448000,0.000000,1279.193539,1370.982692,2011-12-21
2011.971191,0.270133,0.385799,-1.668700,0.448000,0.000000,1279.197693,1370.983982,2011-12-22
2011.973999,0.277156,0.385476,-1.707780,0.448000,0.000000,1279.202305,1370.985573,2011-12-23
2011.976685,0.283749,0.385137,-1.814910,0.448000,0.000000,1279.206957,1370.987317,2011-12-24
2011.979492,0.290464,0.384768,-1.950590,0.448000,0.000000,1279.212053,1370.989359,2011-12-25
2011.982178,0.296678,0.384413,-2.038060,0.448000,0.000000,1279.217137,1370.991514,2011-12-26
2011.984985,0.302907,0.384058,-2.124860,0.448000,0.000000,1279.222650,1370.993965,2011-12-27
2011.987671,0.308571,0.383748,-2.135800,0.448000,0.000000,1279.228100,1370.996492,2011-12-28
2011.990356,0.313901,0.383480,-2.216500,0.448000,0.000000,1279.233703,1370.999184,2011-12-29
2011.993164,0.319076,0.383262,-2.312170,0.448000,0.000000,1279.239711,1371.002167,2011-12-30
2011.995850,0.323602,0.383126,-2.437110,0.448000,0.000000,1279.245585,1371.005170,2011-12-31
2011.998657,0.327843,0.383077,-2.512110,0.448000,0.000000,1279.251837,1371.008455,2012-01-01
2012.001343,0.331390,0.383133,-2.517450,0.448000,0.000000,1279.257912,1371.011729,2012-01-02
2012.004150,0.334519,0.383314,-2.508820,0.448000,0.000000,1279.264342,1371.015275,2012-01-03
2012.006836,0.336917,0.383620,-2.450260,0.448000,0.000000,1279.270554,1371.018778,2012-01-04
2012.009521,0.338690,0.384071,-2.373070,0.448000,0.000000,1279.276807,1371.022376,2012-01-05
2012.012329,0.339832,0.384711,-2.257470,0.448000,0.000000,1279.283375,1371.026234,2012-01-06
2012.015015,0.340200,0.385500,-2.165380,0.448000,0.000000,1279.289669,1371.030003,2012-01-07
2012.017822,0.305500,0.386300,-2.117170,0.448000,0.000000,1279.296241,1371.034014,2012-01-08
2012.020508,0.329046,0.386006,-2.103570,0.448000,0.000000,1279.302508,1371.037911,2012-01-09
2012.023315,0.354200,0.383200,-2.059510,0.448000,0.000000,1279.309018,1371.042034,2012-01-10
2012.026001,0.348400,0.379900,-1.995720,0.448000,0.000000,1279.315192,1371.046019,2012-01-11
2012.028687,0.349400,0.384500,-1.920140,0.448000,0.000000,1279.321298,1371.050031,2012-01-12
2012.031494,0.293700,0.385700,-1.832870,0.448000,0.000000,1279.327587,1371.054244,2012-01-13
2012.034180,0.200300,0.375900,-1.806440,0.448000,0.000000,1279.333502,1371.058284,2012-01-14
2012.036987,0.195600,0.371500,-1.775480,0.448001,0.000000,1279.339559,1371.062503,2012-01-15
2012.039673,0.199800,0.370900,-1.719900,0.448028,0.000000,1279.345217,1371.066529,2012-01-16
2012.042480,0.198700,0.369400,-1.715110,0.448100,0.000000,1279.350972,1371.070713,2012-01-17
2012.045166,0.193660,0.370240,-1.708800,0.448208,0.000000,1279.356313,1371.074686,2012-01-18
2012.047852,0.184400,0.373074,-1.689680,0.448357,0.000000,1279.361491,1371.078625,2012-01-19
2012.050659,0.174521,0.376441,-1.694220,0.448532,0.000000,1279.366729,1371.082700,2012-01-20
2012.053345,0.169000,0.378400,-1.708790,0.448746,0.000000,1279.371573,1371.086556,2012-01-21
2012.056152,0.167400,0.378200,-1.709340,0.448977,0.000000,1279.376461,1371.090536,2012-01-22
2012.058838,0.163803,0.377521,-1.583830,0.449231,0.000000,1279.380972,1371.094293,2012-01-23
2012.061646,0.157267,0.376825,-1.385210,0.449519,0.000000,1279.385512,1371.098163,2012-01-24
2012.064331,0.148485,0.376181,-1.365420,0.449812,0.000000,1279.389685,1371.101803,2012-01-25
2012.067017,0.137342,0.375562,-1.347660,0.450134,0.000000,1279.393696,1371.105382,2012-01-26
2012.069824,0.123303,0.374949,-1.273000,0.450453,0.000000,1279.397713,1371.109052,2012-01-27
2012.072510,0.107700,0.374400,-1.261130,0.450797,0.000000,1279.401388,1371.112492,2012-01-28
2012.075317,0.077200,0.371800,-1.245780,0.451132,0.000000,1279.405053,1371.116008,2012-01-29
2012.078003,0.063300,0.363800,-1.294110,0.451470,0.000000,1279.408391,1371.119292,2012-01-30
2012.080811,0.058700,0.361600,-1.335120,0.451823,0.000000,1279.411706,1371.122637,2012-01-31
2012.083496,0.071800,0.357200,-1.353530,0.452158,0.000000,1279.414706,1371.125748,2012-02-01
