utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2007.002075,-0.031000,0.082900,-4.215280,0.396698,0.001000,1278.946661,1370.870029,2007-01-02
2007.004761,-0.035200,0.080100,-4.220740,0.397034,0.001000,1278.948059,1370.874314,2007-01-03
2007.007568,-0.040100,0.078800,-4.232460,0.397350,0.001000,1278.949524,1370.878771,2007-01-04
2007.010254,-0.045100,0.078100,-4.156010,0.397660,0.001000,1278.950935,1370.883012,2007-01-05
2007.013062,-0.043300,0.077000,-4.042450,0.397974,0.001000,1278.952426,1370.887414,2007-01-06
2007.015747,-0.049600,0.076300,-3.933180,0.398265,0.001000,1278.953870,1370.891592,2007-01-07
2007.018433,-0.054200,0.074700,-3.818380,0.398556,0.001000,1278.955338,1370.895735,2007-01-08
2007.021240,-0.055600,0.073500,-3.729760,0.398821,0.001000,1278.956904,1370.900023,2007-01-09
2007.023926,-0.055300,0.071800,-3.679670,0.399081,0.001000,1278.958436,1370.904082,2007-01-10
2007.026733,-0.060200,0.071400,-3.602730,0.399313,0.001000,1278.960080,1370.908275,2007-01-11
2007.029419,-0.061700,0.070600,-3.497090,0.399526,0.001000,1278.961697,1370.912234,2007-01-12
2007.032227,-0.064900,0.070600,-3.472840,0.399727,0.001000,1278.963439,1370.916316,2007-01-13
2007.034912,-0.064600,0.071000,-3.487240,0.399896,0.001000,1278.965161,1370.920160,2007-01-14
2007.037598,-0.064200,0.072200,-3.603570,0.400049,0.001000,1278.966942,1370.923943,2007-01-15
2007.040405,-0.059200,0.072600,-3.672580,0.400183,0.000994,1278.968871,1370.927827,2007-01-16
2007.043091,-0.060600,0.072300,-3.566880,0.400316,0.000983,1278.970787,1370.931472,2007-01-17
2007.045898,-0.062300,0.071500,-3.355620,0.400436,0.000967,1278.972864,1370.935208,2007-01-18
2007.048584,-0.059100,0.071000,-3.168010,0.400550,0.000945,1278.974921,1370.938716,2007-01-19
2007.051392,-0.059300,0.070700,-2.932160,0.400663,0.000919,1278.977141,1370.942319,2007-01-20
2007.054077,-0.057600,0.071200,-2.837540,0.400766,0.000889,1278.979327,1370.945706,2007-01-21
2007.056763,-0.055400,0.071400,-2.727700,0.400869,0.000853,1278.981573,1370.949044,2007-01-22
2007.059570,-0.053700,0.071200,-2.516310,0.400963,0.000817,1278.983980,1370.952481,2007-01-23
2007.062256,-0.050100,0.071100,-2.311440,0.401057,0.000775,1278.986338,1370.955726,2007-01-24
2007.065063,-0.052000,0.070900,-2.312140,0.401144,0.000733,1278.988857,1370.959077,2007-01-25
2007.067749,-0.055400,0.071200,-2.318620,0.401228,0.000688,1278.991316,1370.962248,2007-01-26
2007.070557,-0.055300,0.071500,-2.368030,0.401314,0.000640,1278.993935,1370.965533,2007-01-27
2007.073242,-0.054600,0.071900,-2.380170,0.401394,0.000593,1278.996483,1370.968649,2007-01-28
2007.075928,-0.054200,0.072500,-2.405820,0.401476,0.000543,1278.999070,1370.971745,2007-01-29
2007.078735,-0.053600,0.073300,-2.396730,0.401554,0.000495,1279.001814,1370.974964,2007-01-30
2007.081421,-0.047800,0.073700,-2.403080,0.401635,0.000444,1279.004474,1370.978033,2007-01-31
2007.084229,-0.047700,0.074000,-2.411270,0.401713,0.000397,1279.007288,1370.981235,2007-02-01
2007.086914,-0.048600,0.075000,-2.390330,0.401791,0.000350,1279.010007,1370.984293,2007-02-02
2007.089722,-0.048200,0.075800,-2.291830,0.401874,0.000302,1279.012878,1370.987494,2007-02-03
2007.092407,-0.044200,0.077400,-2.235070,0.401955,0.000258,1279.015646,1370.990562,2007-02-04
2007.095093,-0.045700,0.078000,-2.106410,0.402042,0.000214,1279.018435,1370.993642,2007-02-05
2007.097900,-0.044100,0.078900,-1.795920,0.402128,0.000175,1279.021368,1370.996878,2007-02-06
2007.100586,-0.044100,0.079300,-1.568300,0.402221,0.000137,1279.024188,1370.999995,2007-02-07
2007.103394,-0.040500,0.079700,-1.362580,0.402314,0.000105,1279.027149,1371.003280,2007-02-08
2007.106079,-0.045800,0.079900,-1.270730,0.402411,0.000076,1279.029989,1371.006451,2007-02-09
2007.108887,-0.049300,0.080200,-1.155680,0.402516,0.000050,1279.032964,1371.009803,2007-02-10
2007.111572,-0.050600,0.081100,-1.014930,0.402623,0.000029,1279.035813,1371.013047,2007-02-11
2007.114258,-0.053300,0.082300,-0.673031,0.402740,0.000014,1279.038662,1371.016335,2007-02-12
2007.117065,-0.046200,0.083600,-0.261789,0.402858,0.000004,1279.041636,1371.019822,2007-02-13
2007.119751,-0.047300,0.084700,0.128926,0.402989,0.000000,1279.044476,1371.023211,2007-02-14
2007.122559,-0.046700,0.085600,0.575224,0.403123,0.000000,1279.047437,1371.026814,2007-02-15
2007.125244,-0.049300,0.086200,1.028690,0.403272,0.000000,1279.050256,1371.030321,2007-02-16
2007.128052,-0.047700,0.086900,1.463430,0.403440,0.000000,1279.053189,1371.034056,2007-02-17
2007.130737,-0.045200,0.088300,1.858710,0.403614,0.000000,1279.055980,1371.037683,2007-02-18
2007.133423,-0.046700,0.089900,2.263080,0.403806,0.000000,1279.058758,1371.041360,2007-02-19
2007.136230,-0.041000,0.092200,2.493880,0.404000,0.000000,1279.061646,1371.045243,2007-02-20
2007.138916,-0.046600,0.094300,2.742490,0.404211,0.000000,1279.064395,1371.048991,2007-02-21
2007.141724,-0.049700,0.095400,3.016730,0.404421,0.000000,1279.067253,1371.052932,2007-02-22
2007.144409,-0.049700,0.096000,3.325410,0.404638,0.000000,1279.069972,1371.056716,2007-02-23
2007.147217,-0.053500,0.096900,3.648860,0.404870,0.000000,1279.072800,1371.060678,2007-02-24
2007.149902,-0.046700,0.097700,3.943920,0.405096,0.000000,1279.075489,1371.064465,2007-02-25
2007.152588,-0.048000,0.100000,4.132490,0.405337,0.000000,1279.078165,1371.068242,2007-02-26
