utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2008.579102,-0.064900,0.075000,21.044800,0.326642,0.000000,1278.433603,1370.812196,2008-07-31
2008.581787,-0.064900,0.074800,21.012700,0.327172,0.000000,1278.428743,1370.805831,2008-08-01
2008.584473,-0.068300,0.074900,20.913500,0.327720,0.000000,1278.423875,1370.799364,2008-08-02
2008.587280,-0.066800,0.074700,20.727400,0.328234,0.000000,1278.418783,1370.792502,2008-08-03
2008.589966,-0.066200,0.074800,20.534300,0.328756,0.000000,1278.413905,1370.785836,2008-08-04
2008.592773,-0.070800,0.075400,20.398300,0.329236,0.000000,1278.408803,1370.778764,2008-08-05
2008.595459,-0.070400,0.075900,20.360100,0.329691,0.000000,1278.403916,1370.771898,2008-08-06
2008.598267,-0.070300,0.077100,20.322700,0.330138,0.000000,1278.398803,1370.764616,2008-08-07
2008.600952,-0.066500,0.076900,20.288000,0.330531,0.000000,1278.393911,1370.757553,2008-08-08
2008.603638,-0.060459,0.077670,20.248000,0.330903,0.000000,1278.389014,1370.750391,2008-08-09
2008.606445,-0.056300,0.078800,20.199500,0.331216,0.000000,1278.383893,1370.742803,2008-08-10
2008.609131,-0.057400,0.079100,20.070300,0.331494,0.000000,1278.378991,1370.735443,2008-08-11
2008.611938,-0.055500,0.080000,19.946700,0.331708,0.000000,1278.373866,1370.727649,2008-08-12
2008.614624,-0.052286,0.080841,19.802800,0.331866,0.000000,1278.368960,1370.720092,2008-08-13
2008.617432,-0.050000,0.081000,19.656200,0.331968,0.000000,1278.363830,1370.712089,2008-08-14
2008.620117,-0.052400,0.080400,19.561600,0.332000,0.000000,1278.358924,1370.704339,2008-08-15
2008.622803,-0.053800,0.080300,19.481300,0.331996,0.000000,1278.354015,1370.696491,2008-08-16
2008.625610,-0.055400,0.080500,19.423000,0.331987,0.000000,1278.348885,1370.688187,2008-08-17
2008.628296,-0.056800,0.080300,19.356500,0.331971,0.000000,1278.343977,1370.680146,2008-08-18
2008.631104,-0.061100,0.079600,19.261200,0.331950,0.000000,1278.338850,1370.671653,2008-08-19
2008.633789,-0.062300,0.079600,19.147300,0.331923,0.000000,1278.333952,1370.663458,2008-08-20
2008.636597,-0.064100,0.079400,19.064800,0.331890,0.000000,1278.328839,1370.654823,2008-08-21
2008.639282,-0.067800,0.079700,19.017500,0.331852,0.000000,1278.323960,1370.646516,2008-08-22
2008.641968,-0.070500,0.080500,18.951200,0.331809,0.000000,1278.319092,1370.638166,2008-08-23
2008.644775,-0.070400,0.080700,18.815300,0.331762,0.000000,1278.314021,1370.629410,2008-08-24
2008.647461,-0.070200,0.081400,18.671300,0.331709,0.000000,1278.309186,1370.621013,2008-08-25
2008.650269,-0.077300,0.080800,18.559000,0.331653,0.000000,1278.304153,1370.612227,2008-08-26
2008.652954,-0.090200,0.081600,18.524400,0.331594,0.000000,1278.299364,1370.603830,2008-08-27
2008.655762,-0.100000,0.082200,18.480100,0.331528,0.000000,1278.294381,1370.595065,2008-08-28
2008.658447,-0.103500,0.082800,18.414300,0.331461,0.000000,1278.289645,1370.586709,2008-08-29
2008.661133,-0.108400,0.083400,18.315100,0.331387,0.000000,1278.284936,1370.578386,2008-08-30
2008.663940,-0.120300,0.085500,18.220200,0.331314,0.000000,1278.280049,1370.569738,2008-08-31
2008.666626,-0.120700,0.086600,18.103700,0.331234,0.000000,1278.275408,1370.561522,2008-09-01
2008.669434,-0.136500,0.087200,17.967100,0.331155,0.000000,1278.270596,1370.553006,2008-09-02
2008.672119,-0.133300,0.088000,17.846900,0.331073,0.000000,1278.266034,1370.544944,2008-09-03
2008.674927,-0.136600,0.087200,17.693200,0.330985,0.000000,1278.261308,1370.536609,2008-09-04
2008.677612,-0.132200,0.086800,17.457400,0.330898,0.000000,1278.256834,1370.528742,2008-09-05
2008.680298,-0.137300,0.086400,17.226700,0.330806,0.000000,1278.252405,1370.520984,2008-09-06
2008.683105,-0.138200,0.086300,17.068500,0.330716,0.000000,1278.247828,1370.513007,2008-09-07
2008.685791,-0.139500,0.085600,16.959700,0.330620,0.000000,1278.243502,1370.505509,2008-09-08
2008.688599,-0.136300,0.085000,16.881800,0.330527,0.000000,1278.239036,1370.497825,2008-09-09
2008.691284,-0.146400,0.084000,16.795300,0.330432,0.000000,1278.234823,1370.490635,2008-09-10
2008.694092,-0.144500,0.083700,16.650300,0.330333,0.000000,1278.230479,1370.483293,2008-09-11
2008.696777,-0.123300,0.084300,16.343800,0.330237,0.000000,1278.226388,1370.476452,2008-09-12
