utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2007.013062,-0.158000,0.128600,-4.407130,0.509072,0.000000,1278.952426,1370.887414,2007-01-06
2007.015747,-0.157900,0.128800,-4.328700,0.509439,0.000000,1278.953870,1370.891592,2007-01-07
2007.018433,-0.154600,0.129700,-4.255040,0.509815,0.000000,1278.955338,1370.895735,2007-01-08
2007.021240,-0.153100,0.129700,-4.175850,0.510165,0.000000,1278.956904,1370.900023,2007-01-09
2007.023926,-0.155000,0.129400,-4.124850,0.510522,0.000000,1278.958436,1370.904082,2007-01-10
2007.026733,-0.156900,0.129900,-4.049730,0.510854,0.000000,1278.960080,1370.908275,2007-01-11
2007.029419,-0.156800,0.130700,-3.929510,0.511175,0.000000,1278.961697,1370.912234,2007-01-12
2007.032227,-0.159700,0.132600,-3.899730,0.511500,0.000000,1278.963439,1370.916316,2007-01-13
2007.034912,-0.159600,0.133100,-3.908540,0.511799,0.000000,1278.965161,1370.920160,2007-01-14
2007.037598,-0.158100,0.134800,-3.980350,0.512099,0.000000,1278.966942,1370.923943,2007-01-15
2007.040405,-0.152900,0.135300,-4.008890,0.512377,0.000000,1278.968871,1370.927827,2007-01-16
2007.043091,-0.153400,0.136300,-3.897780,0.512659,0.000000,1278.970787,1370.931472,2007-01-17
2007.045898,-0.153700,0.136000,-3.710200,0.512921,0.000000,1278.972864,1370.935208,2007-01-18
2007.048584,-0.149000,0.135800,-3.550830,0.513176,0.000000,1278.974921,1370.938716,2007-01-19
2007.051392,-0.148900,0.137300,-3.383170,0.513435,0.000000,1278.977141,1370.942319,2007-01-20
2007.054077,-0.154300,0.137900,-3.305850,0.513677,0.000000,1278.979327,1370.945706,2007-01-21
2007.056763,-0.155200,0.138500,-3.203400,0.513924,0.000000,1278.981573,1370.949044,2007-01-22
2007.059570,-0.148000,0.138100,-3.022880,0.514155,0.000000,1278.983980,1370.952481,2007-01-23
2007.062256,-0.150300,0.138200,-2.845310,0.514391,0.000000,1278.986338,1370.955726,2007-01-24
2007.065063,-0.148600,0.137800,-2.857770,0.514613,0.000000,1278.988857,1370.959077,2007-01-25
2007.067749,-0.149600,0.139200,-2.879780,0.514831,0.000000,1278.991316,1370.962248,2007-01-26
2007.070557,-0.149300,0.139800,-2.962990,0.515056,0.000000,1278.993935,1370.965533,2007-01-27
2007.073242,-0.140500,0.140900,-2.973240,0.515268,0.000000,1278.996483,1370.968649,2007-01-28
2007.075928,-0.131800,0.140700,-2.995170,0.515487,0.000000,1278.999070,1370.971745,2007-01-29
2007.078735,-0.133300,0.141300,-3.003180,0.515694,0.000000,1279.001814,1370.974964,2007-01-30
2007.081421,-0.138500,0.141800,-2.998620,0.515910,0.000000,1279.004474,1370.978033,2007-01-31
2007.084229,-0.124700,0.140900,-3.038690,0.516115,0.000000,1279.007288,1370.981235,2007-02-01
2007.086914,-0.125431,0.139718,-3.089720,0.516320,0.000000,1279.010007,1370.984293,2007-02-02
2007.089722,-0.127711,0.138513,-3.043620,0.516534,0.000000,1279.012878,1370.987494,2007-02-03
2007.092407,-0.131275,0.137389,-2.978640,0.516740,0.000000,1279.015646,1370.990562,2007-02-04
