utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2017.666016,0.472100,0.226100,23.147900,0.402828,0.000000,1278.082902,1370.045793,2017-09-01
2017.668701,0.466600,0.226200,22.957500,0.402329,0.000000,1278.076618,1370.040955,2017-09-02
2017.671509,0.464500,0.226500,22.699600,0.401800,0.000000,1278.070130,1370.035844,2017-09-03
2017.674194,0.466300,0.227100,22.511800,0.401288,0.000000,1278.064020,1370.030898,2017-09-04
2017.676880,0.467100,0.227700,22.406000,0.400748,0.000000,1278.058012,1370.025883,2017-09-05
2017.679688,0.462800,0.229100,22.298300,0.400231,0.000000,1278.051855,1370.020559,2017-09-06
2017.682373,0.456300,0.230000,22.141600,0.399691,0.000000,1278.046100,1370.015382,2017-09-07
2017.685181,0.456800,0.229400,22.008900,0.399178,0.000000,1278.040231,1370.009868,2017-09-08
2017.687866,0.449100,0.229700,21.823000,0.398669,0.000000,1278.034777,1370.004491,2017-09-09
2017.690674,0.444300,0.229200,21.528900,0.398146,0.000000,1278.029250,1369.998748,2017-09-10
2017.693359,0.445700,0.227400,21.299000,0.397655,0.000000,1278.024148,1369.993132,2017-09-11
2017.696045,0.441100,0.226200,21.136700,0.397154,0.000000,1278.019235,1369.987385,2017-09-12
2017.698853,0.433800,0.225400,21.007300,0.396689,0.000000,1278.014316,1369.981229,2017-09-13
2017.701538,0.434000,0.225600,20.861800,0.396220,0.000000,1278.009833,1369.975191,2017-09-14
2017.704346,0.424700,0.226300,20.620500,0.395786,0.000000,1278.005388,1369.968708,2017-09-15
2017.707031,0.418900,0.226600,20.448400,0.395342,0.000000,1278.001384,1369.962341,2017-09-16
2017.709839,0.414200,0.227900,20.312200,0.394865,0.000000,1277.997465,1369.955496,2017-09-17
2017.712524,0.411700,0.228100,20.185300,0.394395,0.000000,1277.993977,1369.948785,2017-09-18
2017.715210,0.414300,0.225700,20.034100,0.393893,0.000000,1277.990732,1369.941934,2017-09-19
2017.718018,0.417900,0.224000,19.895600,0.393403,0.000000,1277.987593,1369.934650,2017-09-20
2017.720703,0.416700,0.223000,19.695600,0.392881,0.000000,1277.984827,1369.927593,2017-09-21
2017.723511,0.408300,0.224200,19.468000,0.392374,0.000000,1277.982172,1369.920143,2017-09-22
2017.726196,0.411100,0.223000,19.311300,0.391860,0.000000,1277.979854,1369.912976,2017-09-23
2017.729004,0.410000,0.222500,19.182000,0.391318,0.000000,1277.977651,1369.905464,2017-09-24
2017.731689,0.404600,0.222100,19.056300,0.390795,0.000000,1277.975749,1369.898287,2017-09-25
2017.734375,0.413600,0.219100,18.902600,0.390245,0.000000,1277.974039,1369.891140,2017-09-26
2017.737183,0.415600,0.216800,18.699800,0.389717,0.000000,1277.972450,1369.883727,2017-09-27
2017.739868,0.420300,0.214500,18.472100,0.389163,0.000000,1277.971112,1369.876719,2017-09-28
2017.742676,0.412800,0.215700,18.270800,0.388635,0.000000,1277.969895,1369.869502,2017-09-29
2017.745361,0.408000,0.214300,18.056800,0.388107,0.000000,1277.968898,1369.862731,2017-09-30
2017.748169,0.397400,0.214000,17.855300,0.387558,0.000000,1277.968021,1369.855814,2017-10-01
2017.750854,0.397900,0.213200,17.667500,0.387037,0.000000,1277.967334,1369.849380,2017-10-02
2017.753540,0.401100,0.211000,17.454500,0.386497,0.000000,1277.966787,1369.843143,2017-10-03
2017.756348,0.398700,0.210300,17.226700,0.385986,0.000000,1277.966357,1369.836864,2017-10-04
2017.759033,0.393700,0.210800,17.004500,0.385460,0.000000,1277.966075,1369.831114,2017-10-05
2017.761841,0.388600,0.211800,16.771100,0.384964,0.000000,1277.965906,1369.825393,2017-10-06
2017.764526,0.381600,0.211400,16.523500,0.384478,0.000000,1277.965857,1369.820226,2017-10-07
2017.767334,0.371100,0.210800,16.295600,0.383980,0.000000,1277.965917,1369.815166,2017-10-08
2017.770020,0.374800,0.209200,16.037300,0.383516,0.000000,1277.966072,1369.810680,2017-10-09
2017.772705,0.379000,0.207600,15.857800,0.383044,0.000000,1277.966315,1369.806565,2017-10-10
2017.775513,0.379700,0.205700,15.745100,0.382606,0.000000,1277.966656,1369.802683,2017-10-11
2017.778198,0.372700,0.205500,15.590200,0.382164,0.000000,1277.967057,1369.799398,2017-10-12
2017.781006,0.368700,0.204900,15.368900,0.381758,0.000000,1277.967547,1369.796435,2017-10-13
