utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2007.013062,-0.334800,0.183200,-4.366000,0.368295,0.003176,1278.952426,1370.887414,2007-01-06
2007.015747,-0.332900,0.182200,-4.295530,0.368964,0.003012,1278.953870,1370.891592,2007-01-07
2007.018433,-0.335600,0.182600,-4.208900,0.369659,0.002846,1278.955338,1370.895735,2007-01-08
2007.021240,-0.346100,0.184000,-4.158110,0.370319,0.002695,1278.956904,1370.900023,2007-01-09
2007.023926,-0.356800,0.185600,-4.119810,0.371003,0.002544,1278.958436,1370.904082,2007-01-10
2007.026733,-0.361200,0.183100,-4.043230,0.371650,0.002409,1278.960080,1370.908275,2007-01-11
2007.029419,-0.358600,0.179200,-3.903890,0.372290,0.002284,1278.961697,1370.912234,2007-01-12
2007.032227,-0.358500,0.177400,-3.848090,0.372950,0.002165,1278.963439,1370.916316,2007-01-13
2007.034912,-0.356500,0.176500,-3.884660,0.373573,0.002063,1278.965161,1370.920160,2007-01-14
2007.037598,-0.362400,0.178400,-4.002890,0.374213,0.001970,1278.966942,1370.923943,2007-01-15
2007.040405,-0.367200,0.180100,-4.082790,0.374815,0.001883,1278.968871,1370.927827,2007-01-16
2007.043091,-0.373200,0.181800,-4.010910,0.375435,0.001791,1278.970787,1370.931472,2007-01-17
2007.045898,-0.376800,0.180700,-3.875020,0.376020,0.001702,1278.972864,1370.935208,2007-01-18
2007.048584,-0.383600,0.179200,-3.725630,0.376598,0.001613,1278.974921,1370.938716,2007-01-19
2007.051392,-0.387300,0.175700,-3.521660,0.377195,0.001519,1278.977141,1370.942319,2007-01-20
2007.054077,-0.387700,0.174000,-3.451550,0.377760,0.001430,1278.979327,1370.945706,2007-01-21
2007.056763,-0.381300,0.172900,-3.389940,0.378345,0.001337,1278.981573,1370.949044,2007-01-22
2007.059570,-0.391600,0.174500,-3.229280,0.378900,0.001248,1278.983980,1370.952481,2007-01-23
2007.062256,-0.398500,0.174000,-3.053510,0.379477,0.001157,1278.986338,1370.955726,2007-01-24
2007.065063,-0.398300,0.173700,-3.045240,0.380027,0.001070,1278.988857,1370.959077,2007-01-25
2007.067749,-0.393400,0.173100,-3.136000,0.380574,0.000985,1278.991316,1370.962248,2007-01-26
2007.070557,-0.391500,0.170000,-3.261250,0.381145,0.000898,1278.993935,1370.965533,2007-01-27
