utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2011.253906,0.042500,0.526100,-0.718209,0.582411,0.072013,1278.596834,1371.088705,2011-04-04
2011.256714,0.136900,0.444700,-0.577039,0.584795,0.065664,1278.602513,1371.088535,2011-04-05
2011.259399,0.140100,0.408400,-0.444988,0.587100,0.059501,1278.607907,1371.088342,2011-04-06
2011.262207,0.161100,0.384200,-0.256501,0.589411,0.053311,1278.613509,1371.088126,2011-04-07
2011.264893,0.166000,0.375800,-0.009984,0.591515,0.047685,1278.618828,1371.087925,2011-04-08
2011.267578,0.178900,0.371900,0.211213,0.593586,0.042166,1278.624104,1371.087745,2011-04-09
2011.270386,0.081000,0.332700,0.230579,0.595432,0.037286,1278.629578,1371.087599,2011-04-10
2011.273071,0.027400,0.297500,0.189484,0.597205,0.032658,1278.634768,1371.087517,2011-04-11
2011.275879,-0.025100,0.273300,0.133699,0.598737,0.028736,1278.640148,1371.087510,2011-04-12
2011.278564,-0.051600,0.255200,0.167802,0.600097,0.025358,1278.645244,1371.087597,2011-04-13
2011.281372,0.009900,0.248000,0.287848,0.601318,0.022464,1278.650524,1371.087804,2011-04-14
2011.284058,-0.042000,0.235800,0.389542,0.602282,0.020357,1278.655523,1371.088131,2011-04-15
2011.286743,-0.026600,0.234800,0.447358,0.603061,0.018898,1278.660469,1371.088601,2011-04-16
2011.289551,-0.031100,0.233100,0.424237,0.603706,0.017830,1278.665586,1371.089264,2011-04-17
2011.292236,-0.021400,0.231500,0.524517,0.604369,0.016738,1278.670423,1371.090079,2011-04-18
2011.295044,0.126400,0.197500,0.555344,0.604992,0.015716,1278.675426,1371.091139,2011-04-19
2011.297729,0.189700,0.179200,0.563541,0.605604,0.014717,1278.680169,1371.092359,2011-04-20
2011.300537,0.254200,0.171200,0.617332,0.606230,0.013700,1278.685102,1371.093861,2011-04-21
2011.303223,0.260000,0.162800,0.763959,0.606817,0.012753,1278.689808,1371.095521,2011-04-22
