utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2007.043091,0.215900,0.125500,-3.717640,0.473601,0.000917,1278.970787,1370.931472,2007-01-17
2007.045898,0.215200,0.124100,-3.549090,0.473848,0.000880,1278.972864,1370.935208,2007-01-18
2007.048584,0.214900,0.123100,-3.372350,0.474092,0.000841,1278.974921,1370.938716,2007-01-19
2007.051392,0.209700,0.122300,-3.152020,0.474345,0.000799,1278.977141,1370.942319,2007-01-20
2007.054077,0.202900,0.122700,-3.085560,0.474585,0.000758,1278.979327,1370.945706,2007-01-21
2007.056763,0.204700,0.122100,-3.058290,0.474834,0.000715,1278.981573,1370.949044,2007-01-22
2007.059570,0.196400,0.121400,-2.948980,0.475070,0.000672,1278.983980,1370.952481,2007-01-23
2007.062256,0.205700,0.121300,-2.776850,0.475314,0.000627,1278.986338,1370.955726,2007-01-24
2007.065063,0.203800,0.120700,-2.784230,0.475546,0.000585,1278.988857,1370.959077,2007-01-25
2007.067749,0.200800,0.119800,-2.922280,0.475777,0.000542,1278.991316,1370.962248,2007-01-26
2007.070557,0.193000,0.120700,-3.033820,0.476015,0.000497,1278.993935,1370.965533,2007-01-27
2007.073242,0.187900,0.122200,-3.070160,0.476242,0.000455,1278.996483,1370.968649,2007-01-28
2007.075928,0.188000,0.122500,-3.092210,0.476477,0.000411,1278.999070,1370.971745,2007-01-29
2007.078735,0.177000,0.124000,-3.078570,0.476701,0.000371,1279.001814,1370.974964,2007-01-30
2007.081421,0.174100,0.124300,-3.101230,0.476933,0.000329,1279.004474,1370.978033,2007-01-31
2007.084229,0.176200,0.124100,-3.211380,0.477153,0.000291,1279.007288,1370.981235,2007-02-01
2007.086914,0.170900,0.122900,-3.233140,0.477373,0.000254,1279.010007,1370.984293,2007-02-02
2007.089722,0.166900,0.123700,-3.197990,0.477600,0.000218,1279.012878,1370.987494,2007-02-03
2007.092407,0.165700,0.125400,-3.125110,0.477817,0.000184,1279.015646,1370.990562,2007-02-04
2007.095093,0.164000,0.126200,-3.002570,0.478042,0.000152,1279.018435,1370.993642,2007-02-05
2007.097900,0.164500,0.127200,-2.700260,0.478257,0.000123,1279.021368,1370.996878,2007-02-06
2007.100586,0.163000,0.128100,-2.479930,0.478480,0.000096,1279.024188,1370.999995,2007-02-07
2007.103394,0.166700,0.128200,-2.274980,0.478693,0.000072,1279.027149,1371.003280,2007-02-08
2007.106079,0.169700,0.126800,-2.221540,0.478905,0.000052,1279.029989,1371.006451,2007-02-09
2007.108887,0.166100,0.126000,-2.160270,0.479125,0.000034,1279.032964,1371.009803,2007-02-10
2007.111572,0.164300,0.126600,-2.014970,0.479335,0.000020,1279.035813,1371.013047,2007-02-11
2007.114258,0.162500,0.127900,-1.696780,0.479555,0.000009,1279.038662,1371.016335,2007-02-12
2007.117065,0.155900,0.128500,-1.299040,0.479764,0.000003,1279.041636,1371.019822,2007-02-13
2007.119751,0.149700,0.129800,-0.916497,0.479982,0.000000,1279.044476,1371.023211,2007-02-14
2007.122559,0.148000,0.128900,-0.467173,0.480194,0.000000,1279.047437,1371.026814,2007-02-15
2007.125244,0.149800,0.128800,0.006046,0.480416,0.000000,1279.050256,1371.030321,2007-02-16
2007.128052,0.144900,0.130700,0.380204,0.480657,0.000000,1279.053189,1371.034056,2007-02-17
2007.130737,0.141300,0.132000,0.709807,0.480895,0.000000,1279.055980,1371.037683,2007-02-18
2007.133423,0.136500,0.133000,1.030820,0.481150,0.000000,1279.058758,1371.041360,2007-02-19
2007.136230,0.133400,0.134100,1.242770,0.481400,0.000000,1279.061646,1371.045243,2007-02-20
2007.138916,0.135900,0.134900,1.454060,0.481665,0.000000,1279.064395,1371.048991,2007-02-21
2007.141724,0.139700,0.134400,1.710880,0.481921,0.000000,1279.067253,1371.052932,2007-02-22
2007.144409,0.139900,0.134100,1.993120,0.482178,0.000000,1279.069972,1371.056716,2007-02-23
2007.147217,0.139800,0.134200,2.268780,0.482448,0.000000,1279.072800,1371.060678,2007-02-24
2007.149902,0.139900,0.132300,2.459890,0.482706,0.000000,1279.075489,1371.064465,2007-02-25
2007.152588,0.140600,0.132700,2.480820,0.482973,0.000000,1279.078165,1371.068242,2007-02-26
2007.155396,0.137300,0.132900,2.480230,0.483226,0.000000,1279.080946,1371.072170,2007-02-27
2007.158081,0.138000,0.134100,2.491160,0.483486,0.000000,1279.083591,1371.075897,2007-02-28
2007.160889,0.146400,0.133800,2.535160,0.483729,0.000000,1279.086341,1371.079758,2007-03-01
2007.163574,0.148600,0.133000,2.695600,0.483965,0.000000,1279.088955,1371.083404,2007-03-02
2007.166382,0.147300,0.132100,2.898680,0.484205,0.000000,1279.091673,1371.087161,2007-03-03
2007.169067,0.137900,0.131800,3.130600,0.484425,0.000000,1279.094257,1371.090691,2007-03-04
2007.171753,0.142800,0.133500,3.389250,0.484645,0.000000,1279.096827,1371.094153,2007-03-05
2007.174561,0.145100,0.136500,3.720050,0.484845,0.000000,1279.099498,1371.097690,2007-03-06
2007.177246,0.138100,0.138200,3.922090,0.485040,0.000000,1279.102035,1371.100984,2007-03-07
2007.180054,0.143500,0.136900,4.062980,0.485214,0.000000,1279.104673,1371.104329,2007-03-08
2007.182739,0.149000,0.135500,4.189310,0.485373,0.000000,1279.107180,1371.107423,2007-03-09
2007.185547,0.150900,0.135600,4.178490,0.485523,0.000000,1279.109785,1371.110540,2007-03-10
2007.188232,0.151500,0.135300,4.176650,0.485649,0.000000,1279.112260,1371.113399,2007-03-11
2007.190918,0.147700,0.136200,4.087390,0.485763,0.000000,1279.114720,1371.116131,2007-03-12
2007.193726,0.142700,0.138000,4.011150,0.485852,0.000000,1279.117276,1371.118843,2007-03-13
2007.196411,0.141200,0.139000,3.980060,0.485924,0.000000,1279.119704,1371.121289,2007-03-14
2007.199219,0.140400,0.139200,4.024690,0.485971,0.000000,1279.122226,1371.123685,2007-03-15
2007.201904,0.136000,0.137800,4.157890,0.485996,0.000000,1279.124621,1371.125811,2007-03-16
2007.204712,0.138300,0.138000,4.338950,0.485998,0.000000,1279.127109,1371.127854,2007-03-17
2007.207397,0.130500,0.138000,4.526550,0.485978,0.000000,1279.129472,1371.129627,2007-03-18
2007.210083,0.132700,0.137900,4.697010,0.485936,0.000000,1279.131819,1371.131216,2007-03-19
2007.212891,0.131300,0.140000,4.718910,0.485877,0.000000,1279.134251,1371.132682,2007-03-20
2007.215576,0.127800,0.140900,4.707060,0.485796,0.000000,1279.136551,1371.133903,2007-03-21
2007.218384,0.128600,0.140800,4.709480,0.485702,0.000000,1279.138924,1371.134998,2007-03-22
2007.221069,0.129100,0.140200,4.886160,0.485590,0.000000,1279.141157,1371.135877,2007-03-23
2007.223877,0.118400,0.141500,5.033950,0.485458,0.000000,1279.143449,1371.136627,2007-03-24
2007.226562,0.107600,0.142500,5.079630,0.485316,0.000000,1279.145593,1371.137189,2007-03-25
2007.229248,0.086700,0.144500,5.121990,0.485152,0.000000,1279.147688,1371.137605,2007-03-26
2007.232056,0.075100,0.145800,5.365260,0.484983,0.000000,1279.149817,1371.137889,2007-03-27
2007.234741,0.067700,0.146700,5.670330,0.484793,0.000000,1279.151791,1371.138024,2007-03-28
2007.237549,0.069000,0.146300,5.898710,0.484599,0.000000,1279.153784,1371.138029,2007-03-29
2007.240234,0.068700,0.145400,6.179400,0.484395,0.000000,1279.155617,1371.137908,2007-03-30
2007.243042,0.058700,0.144500,6.602830,0.484171,0.000000,1279.157452,1371.137658,2007-03-31
2007.245728,0.057500,0.144500,6.973510,0.483948,0.000000,1279.159124,1371.137307,2007-04-01
2007.248413,0.051400,0.143700,7.382300,0.483705,0.000000,1279.160708,1371.136851,2007-04-02
2007.251221,0.039500,0.143500,7.777950,0.483466,0.000000,1279.162267,1371.136271,2007-04-03
