utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2007.913696,0.259300,0.141700,1.346000,0.330288,0.003761,1278.455739,1370.337854,2007-12-01
2007.916504,0.257900,0.139600,1.081880,0.331685,0.004097,1278.455721,1370.340044,2007-12-02
2007.919189,0.253400,0.138200,0.817636,0.333166,0.004443,1278.455825,1370.342182,2007-12-03
2007.921997,0.252200,0.138700,0.659428,0.334598,0.004766,1278.456062,1370.344465,2007-12-04
2007.924683,0.249300,0.138700,0.557183,0.336040,0.005078,1278.456408,1370.346700,2007-12-05
2007.927490,0.245700,0.138200,0.501942,0.337555,0.005389,1278.456894,1370.349091,2007-12-06
2007.930176,0.239000,0.137100,0.362364,0.339007,0.005671,1278.457476,1370.351438,2007-12-07
2007.932861,0.239000,0.136800,0.153506,0.340521,0.005944,1278.458172,1370.353845,2007-12-08
2007.935669,0.232300,0.136400,-0.099749,0.341962,0.006183,1278.459021,1370.356430,2007-12-09
2007.938354,0.232600,0.136000,-0.328342,0.343457,0.006406,1278.459946,1370.358972,2007-12-10
2007.941162,0.224900,0.136600,-0.584478,0.344871,0.006591,1278.461031,1370.361708,2007-12-11
2007.943848,0.226600,0.136300,-0.843192,0.346265,0.006745,1278.462182,1370.364402,2007-12-12
2007.946655,0.218400,0.135700,-0.956024,0.347696,0.006869,1278.463499,1370.367303,2007-12-13
2007.949341,0.214500,0.134000,-1.043500,0.349035,0.006952,1278.464869,1370.370164,2007-12-14
2007.952026,0.211100,0.132900,-1.218180,0.350400,0.006995,1278.466344,1370.373111,2007-12-15
2007.954834,0.209200,0.132300,-1.302100,0.351675,0.007000,1278.467999,1370.376290,2007-12-16
2007.957520,0.204200,0.132300,-1.485380,0.353028,0.006996,1278.469687,1370.379429,2007-12-17
2007.960327,0.200800,0.132900,-1.818710,0.354345,0.006990,1278.471561,1370.382813,2007-12-18
2007.963013,0.205200,0.134200,-2.174960,0.355682,0.006981,1278.473452,1370.386150,2007-12-19
2007.965820,0.200100,0.134300,-2.471330,0.357100,0.006968,1278.475523,1370.389736,2007-12-20
2007.968506,0.192100,0.132700,-2.708580,0.358473,0.006954,1278.477589,1370.393258,2007-12-21
2007.971191,0.184300,0.131300,-2.701150,0.359925,0.006936,1278.479730,1370.396864,2007-12-22
2007.973999,0.179400,0.131400,-2.777760,0.361326,0.006916,1278.482042,1370.400722,2007-12-23
2007.976685,0.180400,0.133100,-2.871520,0.362803,0.006893,1278.484317,1370.404491,2007-12-24
2007.979492,0.178100,0.134000,-2.977540,0.364224,0.006868,1278.486751,1370.408508,2007-12-25
2007.982178,0.173700,0.135400,-3.059680,0.365652,0.006842,1278.489130,1370.412424,2007-12-26
2007.984985,0.173100,0.135400,-3.144390,0.367150,0.006812,1278.491658,1370.416587,2007-12-27
2007.987671,0.163100,0.133400,-3.157880,0.368585,0.006781,1278.494112,1370.420634,2007-12-28
2007.990356,0.159300,0.133000,-3.133310,0.370087,0.006747,1278.496591,1370.424739,2007-12-29
2007.993164,0.152900,0.132900,-3.129640,0.371523,0.006713,1278.499205,1370.429089,2007-12-30
2007.995850,0.144800,0.132000,-3.267050,0.373020,0.006675,1278.501718,1370.433304,2007-12-31
2007.998657,0.145600,0.131600,-3.413370,0.374447,0.006638,1278.504350,1370.437758,2008-01-01
2008.001343,0.136300,0.131300,-3.440730,0.375866,0.006599,1278.506867,1370.442065,2008-01-02
2008.004150,0.133200,0.130000,-3.443480,0.377341,0.006557,1278.509489,1370.446609,2008-01-03
2008.006836,0.126600,0.129400,-3.563250,0.378740,0.006515,1278.511981,1370.450993,2008-01-04
2008.009521,0.122900,0.129100,-3.654360,0.380189,0.006471,1278.514451,1370.455408,2008-01-05
2008.012329,0.119400,0.129500,-3.814890,0.381560,0.006427,1278.517002,1370.460056,2008-01-06
2008.015015,0.117200,0.130000,-3.995250,0.382974,0.006380,1278.519405,1370.464528,2008-01-07
2008.017822,0.116200,0.131200,-4.118880,0.384308,0.006335,1278.521870,1370.469223,2008-01-08
2008.020508,0.115500,0.132000,-4.126030,0.385621,0.006289,1278.524177,1370.473733,2008-01-09
2008.023315,0.113200,0.132700,-4.088340,0.386969,0.006240,1278.526527,1370.478461,2008-01-10
2008.026001,0.105200,0.131900,-3.961450,0.388233,0.006192,1278.528710,1370.482996,2008-01-11
2008.028687,0.102200,0.131900,-3.796670,0.389526,0.006142,1278.530821,1370.487536,2008-01-12
2008.031494,0.098800,0.131800,-3.659160,0.390733,0.006094,1278.532944,1370.492283,2008-01-13
2008.034180,0.092700,0.131300,-3.533480,0.391961,0.006044,1278.534889,1370.496823,2008-01-14
2008.036987,0.091300,0.130600,-3.393900,0.393103,0.005996,1278.536822,1370.501563,2008-01-15
2008.039673,0.089200,0.130800,-3.352920,0.394223,0.005944,1278.538571,1370.506089,2008-01-16
2008.042480,0.087200,0.130600,-3.391160,0.395380,0.005883,1278.540285,1370.510805,2008-01-17
2008.045166,0.081100,0.129800,-3.459410,0.396472,0.005819,1278.541813,1370.515302,2008-01-18
2008.047852,0.076500,0.129200,-3.511460,0.397601,0.005747,1278.543240,1370.519783,2008-01-19
2008.050659,0.070100,0.129200,-3.565980,0.398668,0.005673,1278.544633,1370.524447,2008-01-20
2008.053345,0.068400,0.129800,-3.558010,0.399770,0.005590,1278.545880,1370.528893,2008-01-21
2008.056152,0.070000,0.130200,-3.420100,0.400812,0.005507,1278.547104,1370.533520,2008-01-22
2008.058838,0.067900,0.131000,-3.261630,0.401843,0.005419,1278.548209,1370.537930,2008-01-23
2008.061646,0.064900,0.131600,-3.177780,0.402909,0.005324,1278.549305,1370.542521,2008-01-24
2008.064331,0.061700,0.132200,-3.136710,0.403918,0.005229,1278.550304,1370.546892,2008-01-25
2008.067017,0.057100,0.132300,-2.938220,0.404961,0.005126,1278.551267,1370.551245,2008-01-26
2008.069824,0.055800,0.132200,-2.771530,0.405949,0.005025,1278.552242,1370.555775,2008-01-27
2008.072510,0.050800,0.132700,-2.569410,0.406971,0.004917,1278.553155,1370.560089,2008-01-28
2008.075317,0.050600,0.132800,-2.362630,0.407939,0.004811,1278.554098,1370.564576,2008-01-29
2008.078003,0.045000,0.132600,-2.222500,0.408898,0.004704,1278.554999,1370.568849,2008-01-30
2008.080811,0.036100,0.132500,-2.079530,0.409892,0.004590,1278.555950,1370.573295,2008-01-31
2008.083496,0.030800,0.133500,-1.848260,0.410834,0.004479,1278.556876,1370.577524,2008-02-01
2008.086182,0.025800,0.133200,-1.762430,0.411809,0.004362,1278.557829,1370.581734,2008-02-02
2008.088989,-0.044000,0.132000,-1.740760,0.412735,0.004250,1278.558863,1370.586110,2008-02-03
2008.091675,-0.050600,0.131400,-1.776980,0.413695,0.004132,1278.559897,1370.590276,2008-02-04
2008.094482,-0.119900,0.131100,-1.908960,0.414606,0.004019,1278.561036,1370.594605,2008-02-05
2008.097168,-0.126500,0.131200,-1.961620,0.415510,0.003907,1278.562189,1370.598724,2008-02-06
2008.099976,-0.133100,0.131500,-1.890180,0.416449,0.003790,1278.563471,1370.603007,2008-02-07
2008.102661,-0.139600,0.131500,-1.764500,0.417341,0.003679,1278.564780,1370.607077,2008-02-08
2008.105347,-0.144500,0.131400,-1.667950,0.418267,0.003564,1278.566179,1370.611126,2008-02-09
2008.108154,-0.144800,0.130100,-1.530140,0.419148,0.003455,1278.567747,1370.615332,2008-02-10
2008.110840,-0.144800,0.129700,-1.355220,0.420063,0.003344,1278.569358,1370.619331,2008-02-11
2008.113647,-0.144600,0.129900,-1.259850,0.420934,0.003239,1278.571167,1370.623484,2008-02-12
2008.116333,-0.148000,0.130500,-1.174160,0.421800,0.003137,1278.573028,1370.627433,2008-02-13
2008.119141,-0.151600,0.130900,-1.114640,0.422702,0.003034,1278.575118,1370.631534,2008-02-14
2008.121826,-0.156900,0.130500,-1.061750,0.423568,0.002936,1278.577264,1370.635429,2008-02-15
2008.124512,-0.160600,0.130000,-0.979397,0.424502,0.002827,1278.579565,1370.639300,2008-02-16
2008.127319,-0.165600,0.129100,-0.772338,0.425421,0.002718,1278.582141,1370.643317,2008-02-17
2008.130005,-0.169200,0.128100,-0.516913,0.426405,0.002600,1278.584765,1370.647136,2008-02-18
2008.132812,-0.172900,0.129100,-0.276117,0.427364,0.002482,1278.587662,1370.651105,2008-02-19
2008.135498,-0.173600,0.131400,-0.131373,0.428338,0.002361,1278.590570,1370.654884,2008-02-20
2008.138306,-0.184100,0.133500,-0.092372,0.429367,0.002231,1278.593740,1370.658817,2008-02-21
2008.140991,-0.187400,0.133900,0.049809,0.430359,0.002105,1278.596885,1370.662566,2008-02-22
2008.143677,-0.190000,0.132700,0.254563,0.431400,0.001972,1278.600132,1370.666306,2008-02-23
2008.146484,-0.195700,0.132900,0.541458,0.432395,0.001843,1278.603620,1370.670206,2008-02-24
2008.149170,-0.196300,0.133300,0.799300,0.433432,0.001708,1278.607038,1370.673934,2008-02-25
2008.151978,-0.203900,0.134600,0.960011,0.434416,0.001580,1278.610684,1370.677830,2008-02-26
2008.154663,-0.205500,0.137500,0.935252,0.435388,0.001452,1278.614227,1370.681556,2008-02-27
2008.157471,-0.215400,0.138100,0.927902,0.436390,0.001320,1278.617981,1370.685458,2008-02-28
2008.160156,-0.220200,0.138000,1.022540,0.437329,0.001197,1278.621606,1370.689195,2008-02-29
