utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2015.738525,-0.111700,0.181900,11.519000,0.342384,0.000000,1277.356019,1369.506271,2015-09-28
2015.741211,-0.108400,0.179000,11.285400,0.342591,0.000000,1277.357660,1369.501538,2015-09-29
2015.744019,-0.107200,0.177800,11.014900,0.342800,0.000000,1277.359575,1369.496633,2015-09-30
2015.746704,-0.108200,0.173400,10.810600,0.343029,0.000000,1277.361567,1369.491993,2015-10-01
2015.749512,-0.111600,0.168400,10.640600,0.343257,0.000000,1277.363783,1369.487204,2015-10-02
2015.752197,-0.111300,0.165200,10.490300,0.343493,0.000000,1277.365999,1369.482696,2015-10-03
2015.755005,-0.118900,0.165100,10.328600,0.343749,0.000000,1277.368385,1369.478064,2015-10-04
2015.757690,-0.127700,0.164500,10.109800,0.344001,0.000000,1277.370699,1369.473725,2015-10-05
2015.760376,-0.128800,0.162200,9.857030,0.344272,0.000000,1277.373016,1369.469481,2015-10-06
2015.763184,-0.130200,0.160200,9.591050,0.344537,0.000000,1277.375407,1369.465158,2015-10-07
2015.765869,-0.131100,0.157700,9.322390,0.344820,0.000000,1277.377633,1369.461143,2015-10-08
2015.768677,-0.132300,0.155100,9.069740,0.345096,0.000000,1277.379864,1369.457078,2015-10-09
2015.771362,-0.133900,0.152800,8.827420,0.345376,0.000000,1277.381873,1369.453328,2015-10-10
2015.774170,-0.135800,0.152700,8.601630,0.345672,0.000000,1277.383811,1369.449561,2015-10-11
2015.776855,-0.134400,0.152200,8.304350,0.345960,0.000000,1277.385477,1369.446116,2015-10-12
2015.779541,-0.132500,0.150400,7.955660,0.346262,0.000000,1277.386931,1369.442832,2015-10-13
2015.782349,-0.132600,0.149500,7.609770,0.346554,0.000000,1277.388188,1369.439584,2015-10-14
2015.785034,-0.127200,0.147400,7.323520,0.346861,0.000000,1277.389110,1369.436663,2015-10-15
2015.787842,-0.126300,0.144100,7.100120,0.347164,0.000000,1277.389746,1369.433814,2015-10-16
2015.790527,-0.126200,0.142700,6.921670,0.347523,0.000000,1277.390009,1369.431294,2015-10-17
2015.793335,-0.127400,0.141300,6.702520,0.347964,0.000000,1277.389893,1369.428883,2015-10-18
2015.796021,-0.129200,0.141100,6.476710,0.348441,0.000000,1277.389400,1369.426793,2015-10-19
2015.798706,-0.124500,0.140600,6.298700,0.348995,0.000000,1277.388556,1369.424909,2015-10-20
2015.801514,-0.126400,0.140300,6.118830,0.349572,0.000000,1277.387322,1369.423152,2015-10-21
2015.804199,-0.124300,0.138900,5.866830,0.350220,0.000000,1277.385827,1369.421669,2015-10-22
2015.807007,-0.122100,0.137200,5.566540,0.350877,0.000000,1277.383959,1369.420316,2015-10-23
2015.809692,-0.127100,0.135900,5.336110,0.351567,0.000000,1277.381904,1369.419205,2015-10-24
2015.812500,-0.129000,0.136600,5.091510,0.352318,0.000000,1277.379498,1369.418228,2015-10-25
2015.815186,-0.129000,0.136900,4.807290,0.353060,0.000000,1277.376974,1369.417464,2015-10-26
2015.817871,-0.130700,0.134600,4.520770,0.353857,0.000000,1277.374255,1369.416860,2015-10-27
2015.820679,-0.128800,0.132400,4.120440,0.354633,0.000000,1277.371225,1369.416391,2015-10-28
2015.823364,-0.132400,0.129800,3.695190,0.355455,0.000000,1277.368172,1369.416093,2015-10-29
2015.826172,-0.130700,0.127400,3.262470,0.356246,0.000000,1277.364841,1369.415930,2015-10-30
2015.828857,-0.135400,0.126700,2.833510,0.357038,0.000000,1277.361547,1369.415912,2015-10-31
2015.831665,-0.142300,0.125300,2.406060,0.357862,0.000000,1277.358011,1369.416028,2015-11-01
2015.834351,-0.145600,0.124600,2.034750,0.358641,0.000000,1277.354565,1369.416262,2015-11-02
2015.837036,-0.147200,0.124600,1.840900,0.359442,0.000000,1277.351079,1369.416609,2015-11-03
2015.839844,-0.149100,0.125400,1.690590,0.360190,0.000000,1277.347414,1369.417088,2015-11-04
2015.842529,-0.150400,0.124500,1.480300,0.360948,0.000000,1277.343914,1369.417648,2015-11-05
2015.845337,-0.150200,0.122700,1.311630,0.361646,0.000000,1277.340281,1369.418334,2015-11-06
2015.848022,-0.150600,0.121700,1.130340,0.362312,0.000000,1277.336856,1369.419081,2015-11-07
2015.850830,-0.154100,0.120400,0.953136,0.362971,0.000000,1277.333350,1369.419947,2015-11-08
2015.853516,-0.157500,0.118200,0.813601,0.363559,0.000000,1277.330092,1369.420853,2015-11-09
2015.856201,-0.157700,0.117300,0.654367,0.364126,0.000000,1277.326950,1369.421826,2015-11-10
2015.859009,-0.157900,0.116500,0.447127,0.364618,0.000000,1277.323810,1369.422909,2015-11-11
2015.861694,-0.157500,0.115700,0.187950,0.365074,0.000000,1277.320971,1369.424001,2015-11-12
2015.864502,-0.152100,0.115100,-0.117965,0.365450,0.000000,1277.318196,1369.425194,2015-11-13
2015.867188,-0.158500,0.113900,-0.413062,0.365764,0.000000,1277.315750,1369.426378,2015-11-14
2015.869995,-0.156200,0.112500,-0.732923,0.366019,0.000000,1277.313436,1369.427654,2015-11-15
2015.872681,-0.159600,0.111400,-1.100010,0.366225,0.000009,1277.311476,1369.428903,2015-11-16
2015.875366,-0.156500,0.111700,-1.474320,0.366430,0.000034,1277.309786,1369.430174,2015-11-17
2015.878174,-0.156600,0.111500,-1.788790,0.366617,0.000072,1277.308323,1369.431522,2015-11-18
2015.880859,-0.154800,0.110700,-1.996790,0.366802,0.000125,1277.307203,1369.432829,2015-11-19
2015.883667,-0.149400,0.109800,-2.164790,0.366970,0.000188,1277.306307,1369.434214,2015-11-20
2015.886353,-0.152400,0.108200,-2.315040,0.367130,0.000262,1277.305701,1369.435558,2015-11-21
2015.889160,-0.155400,0.107300,-2.478950,0.367289,0.000350,1277.305312,1369.436983,2015-11-22
2015.891846,-0.155100,0.106100,-2.642890,0.367434,0.000443,1277.305161,1369.438365,2015-11-23
2015.894531,-0.152000,0.105400,-2.896320,0.367578,0.000549,1277.305211,1369.439768,2015-11-24
2015.897339,-0.154000,0.104800,-3.187750,0.367710,0.000658,1277.305463,1369.441256,2015-11-25
2015.900024,-0.153700,0.103400,-3.460980,0.367843,0.000779,1277.305880,1369.442700,2015-11-26
2015.902832,-0.157000,0.102700,-3.780590,0.367964,0.000900,1277.306486,1369.444234,2015-11-27
2015.905518,-0.156600,0.102400,-4.014560,0.368081,0.001025,1277.307213,1369.445723,2015-11-28
2015.908325,-0.159600,0.102200,-4.252520,0.368200,0.001160,1277.308111,1369.447304,2015-11-29
2015.911011,-0.161000,0.101700,-4.442870,0.368309,0.001292,1277.309088,1369.448840,2015-11-30
2015.913696,-0.164400,0.101800,-4.689940,0.368421,0.001431,1277.310165,1369.450399,2015-12-01
2015.916504,-0.164100,0.102000,-4.995390,0.368526,0.001566,1277.311384,1369.452055,2015-12-02
2015.919189,-0.163700,0.101900,-5.278140,0.368633,0.001706,1277.312624,1369.453664,2015-12-03
2015.921997,-0.159800,0.101500,-5.484160,0.368735,0.001839,1277.313983,1369.455374,2015-12-04
2015.924683,-0.158100,0.101500,-5.602390,0.368836,0.001970,1277.315327,1369.457036,2015-12-05
2015.927490,-0.156400,0.101100,-5.623010,0.368942,0.002103,1277.316763,1369.458800,2015-12-06
2015.930176,-0.158100,0.101300,-5.630260,0.369043,0.002227,1277.318153,1369.460517,2015-12-07
2015.932861,-0.158100,0.100900,-5.618430,0.369150,0.002352,1277.319542,1369.462259,2015-12-08
2015.935669,-0.158200,0.100600,-5.685480,0.369254,0.002465,1277.320980,1369.464112,2015-12-09
