utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2013.342896,-0.124100,0.075100,10.625600,0.428647,0.000000,1279.021461,1370.657231,2013-05-06
2013.345703,-0.124000,0.075900,10.794700,0.428159,0.000000,1279.019021,1370.650312,2013-05-07
2013.348389,-0.121000,0.076900,10.985200,0.427690,0.000000,1279.016621,1370.643886,2013-05-08
2013.351074,-0.118200,0.078400,11.195500,0.427199,0.000000,1279.014162,1370.637697,2013-05-09
2013.353882,-0.115400,0.079800,11.532100,0.426730,0.000000,1279.011527,1370.631523,2013-05-10
2013.356567,-0.114500,0.080600,11.951000,0.426240,0.000000,1279.008951,1370.625951,2013-05-11
2013.359375,-0.116400,0.081900,12.224300,0.425775,0.000000,1279.006202,1370.620520,2013-05-12
2013.362061,-0.113400,0.082800,12.463700,0.425312,0.000000,1279.003521,1370.615749,2013-05-13
2013.364868,-0.115200,0.083200,12.698000,0.424834,0.000000,1279.000669,1370.611255,2013-05-14
2013.367554,-0.116900,0.083700,12.874400,0.424383,0.000000,1278.997896,1370.607472,2013-05-15
2013.370239,-0.116800,0.084000,13.057200,0.423917,0.000000,1278.995082,1370.604241,2013-05-16
2013.373047,-0.115400,0.085000,13.294300,0.423462,0.000000,1278.992098,1370.601498,2013-05-17
2013.375732,-0.114000,0.085500,13.642000,0.422965,0.000000,1278.989209,1370.599529,2013-05-18
2013.378540,-0.112700,0.086200,14.013800,0.422473,0.000000,1278.986150,1370.598170,2013-05-19
2013.381226,-0.111200,0.086900,14.358700,0.421965,0.000000,1278.983186,1370.597500,2013-05-20
2013.384033,-0.109300,0.087100,14.527800,0.421419,0.000000,1278.980045,1370.597410,2013-05-21
2013.386719,-0.109300,0.087600,14.674900,0.420883,0.000000,1278.976995,1370.597863,2013-05-22
2013.389404,-0.107700,0.087300,14.803300,0.420312,0.000000,1278.973900,1370.598797,2013-05-23
2013.392212,-0.102900,0.087900,14.979300,0.419756,0.000000,1278.970610,1370.600242,2013-05-24
2013.394897,-0.101200,0.088800,15.246100,0.419166,0.000000,1278.967412,1370.602026,2013-05-25
2013.397705,-0.101200,0.089200,15.428300,0.418596,0.000000,1278.964007,1370.604264,2013-05-26
2013.400391,-0.099500,0.089500,15.617500,0.418021,0.000000,1278.960691,1370.606716,2013-05-27
2013.403198,-0.096100,0.089900,15.827300,0.417416,0.000000,1278.957159,1370.609554,2013-05-28
2013.405884,-0.090900,0.090400,16.057400,0.416836,0.000000,1278.953715,1370.612490,2013-05-29
2013.408569,-0.091000,0.091000,16.256900,0.416230,0.000000,1278.950204,1370.615594,2013-05-30
2013.411377,-0.089200,0.091200,16.451000,0.415651,0.000000,1278.946457,1370.618975,2013-05-31
2013.414062,-0.085700,0.092900,16.748800,0.415050,0.000000,1278.942800,1370.622291,2013-06-01
2013.416870,-0.084100,0.094100,17.155800,0.414479,0.000000,1278.938894,1370.625798,2013-06-02
2013.419556,-0.080900,0.094400,17.515200,0.413915,0.000000,1278.935076,1370.629144,2013-06-03
2013.422363,-0.077700,0.095000,17.788700,0.413333,0.000000,1278.930999,1370.632584,2013-06-04
2013.425049,-0.071000,0.095700,18.025300,0.412786,0.000000,1278.927010,1370.635775,2013-06-05
2013.427734,-0.059500,0.096600,18.225900,0.412226,0.000000,1278.922934,1370.638824,2013-06-06
2013.430542,-0.057900,0.098400,18.466800,0.411703,0.000000,1278.918574,1370.641813,2013-06-07
2013.433228,-0.053000,0.099300,18.706300,0.411171,0.000000,1278.914308,1370.644436,2013-06-08
2013.436035,-0.047900,0.100000,18.959700,0.410679,0.000000,1278.909745,1370.646882,2013-06-09
2013.438721,-0.044600,0.100500,19.171600,0.410203,0.000000,1278.905277,1370.648895,2013-06-10
2013.441528,-0.034700,0.101100,19.368700,0.409726,0.000000,1278.900497,1370.650609,2013-06-11
2013.444214,-0.033000,0.101900,19.460200,0.409290,0.000000,1278.895814,1370.651830,2013-06-12
2013.446899,-0.024800,0.103000,19.507800,0.408858,0.000000,1278.891024,1370.652596,2013-06-13
2013.449707,-0.019800,0.104200,19.544400,0.408468,0.000000,1278.885895,1370.652865,2013-06-14
2013.452393,-0.018000,0.104600,19.606300,0.408087,0.000000,1278.880871,1370.652567,2013-06-15
2013.455200,-0.013300,0.104900,19.701900,0.407746,0.000000,1278.875495,1370.651627,2013-06-16
2013.457886,-0.011400,0.105200,19.815800,0.407416,0.000000,1278.870226,1370.650080,2013-06-17
2013.460693,-0.008100,0.105400,20.048700,0.407081,0.000000,1278.864590,1370.647753,2013-06-18
2013.463379,-0.007600,0.105600,20.298300,0.406771,0.000000,1278.859076,1370.644864,2013-06-19
2013.466064,-0.006200,0.105300,20.602400,0.406456,0.000000,1278.853456,1370.641362,2013-06-20
2013.468872,-0.000900,0.104900,20.872900,0.406164,0.000000,1278.847469,1370.637075,2013-06-21
2013.471558,0.002500,0.104900,21.066900,0.405867,0.000000,1278.841645,1370.632412,2013-06-22
2013.474365,0.007400,0.105400,21.260500,0.405590,0.000000,1278.835466,1370.626984,2013-06-23
2013.477051,0.012500,0.105900,21.470000,0.405320,0.000000,1278.829473,1370.621294,2013-06-24
2013.479858,0.017400,0.106000,21.628900,0.405045,0.000000,1278.823133,1370.614862,2013-06-25
2013.482544,0.019100,0.106800,21.779200,0.404788,0.000000,1278.817000,1370.608277,2013-06-26
2013.485229,0.024200,0.107600,21.930400,0.404524,0.000000,1278.810813,1370.601305,2013-06-27
2013.488037,0.024400,0.108800,22.001700,0.404277,0.000000,1278.804289,1370.593632,2013-06-28
2013.490723,0.029200,0.109200,22.187500,0.404023,0.000000,1278.798007,1370.585961,2013-06-29
