utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2016.349121,-0.048000,0.330300,9.655890,0.400071,0.000000,1277.418994,1369.816710,2016-05-08
2016.351807,-0.047200,0.329000,9.794100,0.400958,0.000000,1277.417125,1369.816534,2016-05-09
2016.354492,-0.049800,0.325800,9.926040,0.401784,0.000000,1277.415220,1369.816245,2016-05-10
2016.357300,-0.043800,0.325700,10.095100,0.402468,0.000000,1277.413193,1369.815820,2016-05-11
2016.359985,-0.036200,0.323600,10.308200,0.403060,0.000000,1277.411228,1369.815292,2016-05-12
2016.362793,-0.032700,0.316900,10.463000,0.403501,0.000000,1277.409150,1369.814610,2016-05-13
2016.365479,-0.024100,0.317900,10.594100,0.403808,0.000000,1277.407147,1369.813828,2016-05-14
2016.368286,-0.015200,0.317100,10.637000,0.403977,0.000000,1277.405042,1369.812875,2016-05-15
2016.370972,0.005200,0.317900,10.758000,0.403995,0.000000,1277.403024,1369.811827,2016-05-16
2016.373657,0.009200,0.313900,10.990900,0.403945,0.000000,1277.401007,1369.810644,2016-05-17
2016.376465,0.021200,0.312800,11.235300,0.403851,0.000000,1277.398904,1369.809258,2016-05-18
2016.379150,0.034700,0.313200,11.528400,0.403703,0.000000,1277.396900,1369.807796,2016-05-19
2016.381958,0.044100,0.314000,11.822300,0.403519,0.000000,1277.394806,1369.806132,2016-05-20
2016.384644,0.063400,0.314400,12.099900,0.403293,0.000000,1277.392800,1369.804423,2016-05-21
2016.387451,0.079000,0.314600,12.336100,0.403015,0.000000,1277.390696,1369.802524,2016-05-22
2016.390137,0.084200,0.313300,12.547800,0.402710,0.000000,1277.388671,1369.800610,2016-05-23
2016.392822,0.082700,0.313000,12.713700,0.402353,0.000000,1277.386630,1369.798610,2016-05-24
2016.395630,0.094100,0.312800,12.964200,0.401976,0.000000,1277.384473,1369.796439,2016-05-25
2016.398315,0.095900,0.311600,13.201100,0.401548,0.000000,1277.382385,1369.794295,2016-05-26
2016.401123,0.095900,0.308300,13.397900,0.401107,0.000000,1277.380168,1369.791993,2016-05-27
2016.403809,0.098600,0.305600,13.672900,0.400638,0.000000,1277.378012,1369.789744,2016-05-28
2016.406616,0.118200,0.304400,13.957300,0.400118,0.000000,1277.375718,1369.787356,2016-05-29
2016.409302,0.131000,0.303700,14.296100,0.399595,0.000000,1277.373477,1369.785045,2016-05-30
2016.411987,0.148700,0.306800,14.577200,0.399023,0.000000,1277.371189,1369.782718,2016-05-31
2016.414795,0.154900,0.309900,14.823600,0.398453,0.000000,1277.368739,1369.780278,2016-06-01
2016.417480,0.156500,0.314000,15.026700,0.397837,0.000000,1277.366337,1369.777948,2016-06-02
2016.420288,0.158900,0.318400,15.211200,0.397228,0.000000,1277.363760,1369.775527,2016-06-03
2016.422974,0.156900,0.318000,15.359300,0.396603,0.000000,1277.361225,1369.773235,2016-06-04
2016.425781,0.167300,0.316700,15.485400,0.395934,0.000000,1277.358501,1369.770876,2016-06-05
2016.428467,0.171900,0.318400,15.578300,0.395281,0.000000,1277.355816,1369.768663,2016-06-06
2016.431152,0.180300,0.314200,15.714500,0.394587,0.000000,1277.353052,1369.766505,2016-06-07
2016.433960,0.190000,0.310800,15.921200,0.393913,0.000000,1277.350070,1369.764315,2016-06-08
2016.436646,0.213000,0.308800,16.173400,0.393200,0.000000,1277.347126,1369.762295,2016-06-09
2016.439453,0.222500,0.304700,16.366500,0.392512,0.000000,1277.343949,1369.760274,2016-06-10
2016.442139,0.221400,0.300600,16.595200,0.391821,0.000000,1277.340807,1369.758435,2016-06-11
2016.444946,0.233900,0.298100,16.738600,0.391095,0.000000,1277.337414,1369.756623,2016-06-12
2016.447632,0.250100,0.295000,16.864700,0.390401,0.000000,1277.334056,1369.755005,2016-06-13
2016.450317,0.267800,0.295300,16.958400,0.389676,0.000000,1277.330587,1369.753510,2016-06-14
2016.453125,0.274300,0.295200,17.052500,0.388986,0.000000,1277.326834,1369.752089,2016-06-15
2016.455811,0.272800,0.291200,17.251800,0.388224,0.000000,1277.323120,1369.750876,2016-06-16
2016.458618,0.270600,0.288400,17.486800,0.387421,0.000000,1277.319104,1369.749772,2016-06-17
2016.461304,0.261200,0.287100,17.713500,0.386550,0.000000,1277.315129,1369.748872,2016-06-18
2016.464111,0.252700,0.285600,17.836100,0.385571,0.000000,1277.310840,1369.748075,2016-06-19
2016.466797,0.232100,0.282500,17.975300,0.384573,0.000000,1277.306610,1369.747428,2016-06-20
2016.469482,0.223500,0.281700,18.114600,0.383472,0.000000,1277.302261,1369.746873,2016-06-21
