utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2007.013062,0.133000,0.135900,-4.642320,0.537065,0.000803,1278.952426,1370.887414,2007-01-06
2007.015747,0.130200,0.136400,-4.571260,0.537150,0.000841,1278.953870,1370.891592,2007-01-07
2007.018433,0.130300,0.136000,-4.484790,0.537244,0.000877,1278.955338,1370.895735,2007-01-08
2007.021240,0.109500,0.136700,-4.405060,0.537338,0.000909,1278.956904,1370.900023,2007-01-09
2007.023926,0.105100,0.137100,-4.364960,0.537442,0.000937,1278.958436,1370.904082,2007-01-10
2007.026733,0.103400,0.136000,-4.298190,0.537547,0.000960,1278.960080,1370.908275,2007-01-11
2007.029419,0.102400,0.134400,-4.177970,0.537658,0.000978,1278.961697,1370.912234,2007-01-12
2007.032227,0.102500,0.134200,-4.135860,0.537782,0.000991,1278.963439,1370.916316,2007-01-13
2007.034912,0.101400,0.133500,-4.178590,0.537908,0.000999,1278.965161,1370.920160,2007-01-14
2007.037598,0.091100,0.133900,-4.279510,0.538048,0.001000,1278.966942,1370.923943,2007-01-15
2007.040405,0.083200,0.134500,-4.354360,0.538190,0.000994,1278.968871,1370.927827,2007-01-16
2007.043091,0.068800,0.135300,-4.257900,0.538348,0.000983,1278.970787,1370.931472,2007-01-17
2007.045898,0.068500,0.134100,-4.090620,0.538506,0.000967,1278.972864,1370.935208,2007-01-18
2007.048584,0.068700,0.134100,-3.921180,0.538672,0.000946,1278.974921,1370.938716,2007-01-19
2007.051392,0.072400,0.134400,-3.723570,0.538854,0.000919,1278.977141,1370.942319,2007-01-20
2007.054077,0.066300,0.134600,-3.647250,0.539035,0.000889,1278.979327,1370.945706,2007-01-21
2007.056763,0.061800,0.135500,-3.565590,0.539231,0.000853,1278.981573,1370.949044,2007-01-22
2007.059570,0.046200,0.135400,-3.396940,0.539426,0.000817,1278.983980,1370.952481,2007-01-23
2007.062256,0.039800,0.135600,-3.220270,0.539636,0.000775,1278.986338,1370.955726,2007-01-24
2007.065063,0.036500,0.134900,-3.191620,0.539843,0.000733,1278.988857,1370.959077,2007-01-25
2007.067749,0.031700,0.134500,-3.253960,0.540056,0.000688,1278.991316,1370.962248,2007-01-26
2007.070557,0.026800,0.133800,-3.368370,0.540284,0.000640,1278.993935,1370.965533,2007-01-27
2007.073242,0.022700,0.133100,-3.409520,0.540508,0.000593,1278.996483,1370.968649,2007-01-28
2007.075928,0.020700,0.133100,-3.451320,0.540747,0.000543,1278.999070,1370.971745,2007-01-29
2007.078735,0.016300,0.133800,-3.481040,0.540981,0.000495,1279.001814,1370.974964,2007-01-30
2007.081421,0.005900,0.134400,-3.482860,0.541230,0.000444,1279.004474,1370.978033,2007-01-31
2007.084229,0.000900,0.134600,-3.543760,0.541473,0.000397,1279.007288,1370.981235,2007-02-01
2007.086914,-0.003600,0.133400,-3.614870,0.541720,0.000350,1279.010007,1370.984293,2007-02-02
2007.089722,-0.007400,0.132500,-3.575300,0.541982,0.000302,1279.012878,1370.987494,2007-02-03
2007.092407,-0.005500,0.131600,-3.551280,0.542236,0.000258,1279.015646,1370.990562,2007-02-04
2007.095093,-0.008200,0.132700,-3.446240,0.542505,0.000214,1279.018435,1370.993642,2007-02-05
2007.097900,-0.012900,0.133300,-3.198530,0.542765,0.000175,1279.021368,1370.996878,2007-02-06
2007.100586,-0.015100,0.133800,-2.976330,0.543040,0.000137,1279.024188,1370.999995,2007-02-07
2007.103394,-0.027900,0.133100,-2.760720,0.543306,0.000105,1279.027149,1371.003280,2007-02-08
2007.106079,-0.028200,0.132600,-2.696110,0.543574,0.000076,1279.029989,1371.006451,2007-02-09
2007.108887,-0.035800,0.132400,-2.611930,0.543856,0.000050,1279.032964,1371.009803,2007-02-10
2007.111572,-0.043600,0.132500,-2.490390,0.544128,0.000029,1279.035813,1371.013047,2007-02-11
2007.114258,-0.060200,0.132300,-2.217770,0.544413,0.000014,1279.038662,1371.016335,2007-02-12
2007.117065,-0.071700,0.133100,-1.830580,0.544688,0.000004,1279.041636,1371.019822,2007-02-13
2007.119751,-0.073900,0.134400,-1.473570,0.544976,0.000000,1279.044476,1371.023211,2007-02-14
2007.122559,-0.072400,0.133800,-1.074490,0.545265,0.000000,1279.047437,1371.026814,2007-02-15
2007.125244,-0.079800,0.133100,-0.643858,0.545584,0.000000,1279.050256,1371.030321,2007-02-16
2007.128052,-0.085900,0.133100,-0.270157,0.545948,0.000000,1279.053189,1371.034056,2007-02-17
2007.130737,-0.094500,0.133900,0.072174,0.546322,0.000000,1279.055980,1371.037683,2007-02-18
2007.133423,-0.109100,0.134000,0.408473,0.546736,0.000000,1279.058758,1371.041360,2007-02-19
2007.136230,-0.108900,0.134400,0.609491,0.547152,0.000000,1279.061646,1371.045243,2007-02-20
2007.138916,-0.114400,0.134500,0.815267,0.547605,0.000000,1279.064395,1371.048991,2007-02-21
2007.141724,-0.123900,0.134700,1.047900,0.548053,0.000000,1279.067253,1371.052932,2007-02-22
2007.144409,-0.128500,0.134300,1.321190,0.548512,0.000000,1279.069972,1371.056716,2007-02-23
2007.147217,-0.132800,0.133900,1.582690,0.549001,0.000000,1279.072800,1371.060678,2007-02-24
2007.149902,-0.170900,0.134200,1.813530,0.549475,0.000000,1279.075489,1371.064465,2007-02-25
2007.152588,-0.194300,0.134500,1.938370,0.549974,0.000000,1279.078165,1371.068242,2007-02-26
2007.155396,-0.204100,0.135000,1.963190,0.550451,0.000000,1279.080946,1371.072170,2007-02-27
2007.158081,-0.210800,0.135100,2.061510,0.550947,0.000000,1279.083591,1371.075897,2007-02-28
2007.160889,-0.225800,0.135200,2.171700,0.551416,0.000000,1279.086341,1371.079758,2007-03-01
2007.163574,-0.235200,0.134600,2.336520,0.551877,0.000000,1279.088955,1371.083404,2007-03-02
2007.166382,-0.237000,0.134200,2.534130,0.552348,0.000000,1279.091673,1371.087161,2007-03-03
2007.169067,-0.235300,0.134800,2.713170,0.552784,0.000000,1279.094257,1371.090691,2007-03-04
2007.171753,-0.237000,0.134800,2.928820,0.553223,0.000000,1279.096827,1371.094153,2007-03-05
2007.174561,-0.243700,0.135300,3.211240,0.553623,0.000000,1279.099498,1371.097690,2007-03-06
2007.177246,-0.248800,0.135500,3.424220,0.554019,0.000000,1279.102035,1371.100984,2007-03-07
2007.180054,-0.244200,0.134500,3.588880,0.554372,0.000000,1279.104673,1371.104329,2007-03-08
2007.182739,-0.244500,0.134000,3.712420,0.554697,0.000000,1279.107180,1371.107423,2007-03-09
