utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2012.296997,0.101500,0.201500,8.449170,0.498291,0.000000,1279.490975,1371.027291,2012-04-19
2012.299805,0.104800,0.189400,8.692400,0.497751,0.000000,1279.491209,1371.026059,2012-04-20
2012.302490,0.105900,0.179800,8.952570,0.497145,0.000000,1279.491230,1371.025061,2012-04-21
2012.305298,0.095900,0.174200,9.153110,0.496530,0.000000,1279.491046,1371.024191,2012-04-22
2012.307983,0.093900,0.170100,9.339750,0.495882,0.000000,1279.490681,1371.023513,2012-04-23
2012.310791,0.087500,0.165000,9.438260,0.495173,0.000000,1279.490107,1371.022951,2012-04-24
2012.313477,0.081200,0.162900,9.498380,0.494468,0.000000,1279.489382,1371.022542,2012-04-25
2012.316162,0.074300,0.161400,9.599960,0.493704,0.000000,1279.488491,1371.022247,2012-04-26
2012.318970,0.064800,0.156800,9.658220,0.492950,0.000000,1279.487389,1371.022047,2012-04-27
2012.321655,0.035300,0.152600,9.697140,0.492143,0.000000,1279.486178,1371.021946,2012-04-28
2012.324463,0.025300,0.150100,9.756260,0.491353,0.000000,1279.484755,1371.021923,2012-04-29
2012.327148,0.011900,0.146600,9.861830,0.490550,0.000000,1279.483252,1371.021965,2012-04-30
2012.329956,-0.016000,0.146100,9.951680,0.489698,0.000000,1279.481536,1371.022065,2012-05-01
2012.332642,-0.029400,0.143500,10.062100,0.488875,0.000000,1279.479765,1371.022201,2012-05-02
2012.335327,-0.038000,0.138400,10.369500,0.488008,0.000000,1279.477873,1371.022363,2012-05-03
2012.338135,-0.047300,0.133700,10.703700,0.487175,0.000000,1279.475773,1371.022549,2012-05-04
2012.340820,-0.053100,0.131700,10.962500,0.486304,0.000000,1279.473655,1371.022728,2012-05-05
2012.343628,-0.056800,0.129900,11.101800,0.485473,0.000000,1279.471331,1371.022905,2012-05-06
2012.346313,-0.053300,0.127300,11.212300,0.484647,0.000000,1279.469012,1371.023052,2012-05-07
2012.349121,-0.058600,0.127100,11.400800,0.483791,0.000000,1279.466493,1371.023167,2012-05-08
2012.351807,-0.064100,0.128200,11.541500,0.482983,0.000000,1279.463999,1371.023229,2012-05-09
2012.354492,-0.073300,0.126400,11.665700,0.482152,0.000000,1279.461430,1371.023232,2012-05-10
2012.357300,-0.088300,0.120200,11.729700,0.481372,0.000000,1279.458671,1371.023157,2012-05-11
2012.359985,-0.097500,0.116300,11.729700,0.480577,0.000000,1279.455968,1371.023000,2012-05-12
2012.362793,-0.092500,0.117700,11.879600,0.479837,0.000000,1279.453081,1371.022732,2012-05-13
2012.365479,-0.084800,0.115900,12.100000,0.479121,0.000000,1279.450270,1371.022364,2012-05-14
