utvec,dv,err,temp,SM_EWT,snow_EWT,GSL,UL,date
2011.223877,-0.121700,0.060100,2.515410,0.534031,0.000000,1278.534137,1371.083340,2011-03-24
2011.226562,-0.123500,0.060600,2.639280,0.534135,0.000000,1278.539860,1371.084678,2011-03-25
2011.229248,-0.125200,0.060900,2.773200,0.534238,0.000000,1278.545567,1371.085796,2011-03-26
2011.232056,-0.125200,0.061000,2.879070,0.534334,0.000000,1278.551512,1371.086748,2011-03-27
2011.234741,-0.128600,0.061100,2.857190,0.534431,0.000000,1278.557174,1371.087467,2011-03-28
2011.237549,-0.130200,0.061400,2.863030,0.534523,0.000000,1278.563072,1371.088039,2011-03-29
2011.240234,-0.133600,0.061900,3.031030,0.534614,0.000000,1278.568686,1371.088431,2011-03-30
2011.243042,-0.133700,0.062400,3.097620,0.534709,0.000000,1278.574529,1371.088697,2011-03-31
2011.245728,-0.133800,0.062700,3.091220,0.534802,0.000000,1278.580090,1371.088833,2011-04-01
2011.248413,-0.133800,0.062600,3.057300,0.534901,0.000000,1278.585619,1371.088869,2011-04-02
2011.251221,-0.135500,0.062700,3.052900,0.534999,0.000000,1278.591369,1371.088819,2011-04-03
2011.253906,-0.138800,0.062900,3.168650,0.535105,0.000000,1278.596834,1371.088705,2011-04-04
2011.256714,-0.142100,0.063000,3.274330,0.535212,0.000000,1278.602513,1371.088535,2011-04-05
2011.259399,-0.142100,0.062900,3.387440,0.535325,0.000000,1278.607907,1371.088342,2011-04-06
2011.262207,-0.147100,0.062900,3.591600,0.535450,0.000000,1278.613509,1371.088126,2011-04-07
2011.264893,-0.150500,0.063000,3.888510,0.535578,0.000000,1278.618828,1371.087925,2011-04-08
2011.267578,-0.150600,0.063400,4.080020,0.535720,0.000000,1278.624104,1371.087745,2011-04-09
2011.270386,-0.149000,0.063700,4.064780,0.535866,0.000000,1278.629578,1371.087599,2011-04-10
2011.273071,-0.147400,0.063800,4.013650,0.536030,0.000000,1278.634768,1371.087517,2011-04-11
2011.275879,-0.149100,0.063800,4.004490,0.536198,0.000000,1278.640148,1371.087510,2011-04-12
2011.278564,-0.150800,0.063800,4.077580,0.536378,0.000000,1278.645244,1371.087597,2011-04-13
2011.281372,-0.150800,0.063900,4.212340,0.536580,0.000000,1278.650524,1371.087804,2011-04-14
2011.284058,-0.150800,0.063900,4.318470,0.536788,0.000000,1278.655523,1371.088131,2011-04-15
2011.286743,-0.150800,0.063700,4.368980,0.537023,0.000000,1278.660469,1371.088601,2011-04-16
2011.289551,-0.150800,0.063800,4.382220,0.537355,0.000000,1278.665586,1371.089264,2011-04-17
2011.292236,-0.150900,0.063800,4.477970,0.537876,0.000000,1278.670423,1371.090079,2011-04-18
2011.295044,-0.152600,0.063800,4.460430,0.538529,0.000000,1278.675426,1371.091139,2011-04-19
2011.297729,-0.152700,0.063800,4.459520,0.539321,0.000000,1278.680169,1371.092359,2011-04-20
2011.300537,-0.152600,0.063700,4.523170,0.540284,0.000000,1278.685102,1371.093861,2011-04-21
2011.303223,-0.152600,0.063900,4.674970,0.541323,0.000000,1278.689808,1371.095521,2011-04-22
2011.305908,-0.152700,0.064000,4.863490,0.542519,0.000000,1278.694514,1371.097409,2011-04-23
2011.308716,-0.152700,0.064000,4.989410,0.543756,0.000000,1278.699453,1371.099635,2011-04-24
2011.311401,-0.152700,0.064100,5.062280,0.545133,0.000000,1278.704206,1371.102013,2011-04-25
2011.314209,-0.156000,0.064300,5.257130,0.546518,0.000000,1278.709224,1371.104769,2011-04-26
2011.316895,-0.156000,0.064400,5.425330,0.547958,0.000000,1278.714083,1371.107673,2011-04-27
2011.319702,-0.156000,0.064400,5.541910,0.549509,0.000000,1278.719238,1371.110994,2011-04-28
2011.322388,-0.156000,0.064600,5.709630,0.551023,0.000000,1278.724260,1371.114456,2011-04-29
2011.325073,-0.157700,0.064400,5.800730,0.552626,0.000000,1278.729379,1371.118202,2011-04-30
2011.327881,-0.159400,0.064400,5.819440,0.554165,0.000000,1278.734855,1371.122434,2011-05-01
2011.330566,-0.159500,0.064400,5.867360,0.555769,0.000000,1278.740222,1371.126789,2011-05-02
2011.333374,-0.162900,0.064400,5.920050,0.557284,0.000000,1278.745988,1371.131676,2011-05-03
2011.336060,-0.159500,0.064400,5.888520,0.558770,0.000000,1278.751662,1371.136676,2011-05-04
2011.338867,-0.159500,0.064700,6.067710,0.560278,0.000000,1278.757774,1371.142250,2011-05-05
2011.341553,-0.159500,0.064700,6.270240,0.561666,0.000000,1278.763811,1371.147928,2011-05-06
2011.344238,-0.164500,0.064500,6.414130,0.563046,0.000000,1278.770044,1371.153946,2011-05-07
2011.347046,-0.166200,0.064500,6.562340,0.564286,0.000000,1278.776790,1371.160617,2011-05-08
2011.349731,-0.166100,0.064400,6.698070,0.565486,0.000000,1278.783472,1371.167363,2011-05-09
2011.352539,-0.166000,0.064600,6.920750,0.566530,0.000000,1278.790716,1371.174812,2011-05-10
2011.355225,-0.166000,0.064900,7.153900,0.567459,0.000000,1278.797906,1371.182323,2011-05-11
2011.358032,-0.167700,0.065000,7.388760,0.568296,0.000000,1278.805707,1371.190583,2011-05-12
2011.360718,-0.169400,0.064900,7.590230,0.568954,0.000000,1278.813460,1371.198890,2011-05-13
2011.363403,-0.169300,0.065000,7.743350,0.569482,0.000000,1278.821507,1371.207595,2011-05-14
2011.366211,-0.167700,0.065000,7.890280,0.569821,0.000000,1278.830255,1371.217137,2011-05-15
2011.368896,-0.171000,0.065100,8.135180,0.569989,0.000000,1278.838951,1371.226688,2011-05-16
2011.371704,-0.169300,0.065300,8.374850,0.569977,0.000000,1278.848407,1371.237133,2011-05-17
2011.374390,-0.167700,0.065400,8.443430,0.569855,0.000000,1278.857813,1371.247569,2011-05-18
2011.377197,-0.167600,0.065200,8.448910,0.569620,0.000000,1278.868031,1371.258944,2011-05-19
2011.379883,-0.167700,0.065400,8.573360,0.569295,0.000000,1278.878164,1371.270256,2011-05-20
2011.382568,-0.166000,0.065200,8.608920,0.568857,0.000000,1278.888612,1371.281948,2011-05-21
2011.385376,-0.166000,0.065100,8.655280,0.568346,0.000000,1278.899851,1371.294549,2011-05-22
2011.388062,-0.166000,0.065300,8.789030,0.567722,0.000000,1278.910872,1371.306926,2011-05-23
2011.390869,-0.169400,0.065500,9.036830,0.567042,0.000000,1278.922640,1371.320162,2011-05-24
2011.393555,-0.171000,0.065700,9.323710,0.566286,0.000000,1278.934114,1371.333079,2011-05-25
2011.396362,-0.174400,0.066100,9.569850,0.565418,0.000000,1278.946295,1371.346807,2011-05-26
2011.399048,-0.172700,0.066500,9.804780,0.564517,0.000000,1278.958107,1371.360125,2011-05-27
2011.401733,-0.172700,0.067100,10.126300,0.563507,0.000000,1278.970037,1371.373583,2011-05-28
2011.404541,-0.172700,0.067400,10.424000,0.562478,0.000000,1278.982615,1371.387776,2011-05-29
2011.407227,-0.176000,0.067700,10.644400,0.561343,0.000000,1278.994716,1371.401431,2011-05-30
2011.410034,-0.176000,0.068500,11.005500,0.560204,0.000000,1279.007404,1371.415747,2011-05-31
2011.412720,-0.177600,0.069100,11.280600,0.559017,0.000000,1279.019556,1371.429454,2011-06-01
2011.415527,-0.177500,0.069700,11.580600,0.557728,0.000000,1279.032238,1371.443750,2011-06-02
2011.418213,-0.179200,0.070000,11.881300,0.556455,0.000000,1279.044327,1371.457369,2011-06-03
2011.420898,-0.177700,0.070500,12.118100,0.555085,0.000000,1279.056338,1371.470888,2011-06-04
2011.423706,-0.177800,0.071000,12.344700,0.553742,0.000000,1279.068791,1371.484890,2011-06-05
2011.426392,-0.174500,0.071100,12.511200,0.552308,0.000000,1279.080572,1371.498118,2011-06-06
2011.429199,-0.171100,0.071000,12.586400,0.550913,0.000000,1279.092715,1371.511731,2011-06-07
2011.431885,-0.171000,0.071200,12.650200,0.549498,0.000000,1279.104145,1371.524521,2011-06-08
2011.434692,-0.170900,0.071500,12.804700,0.548002,0.000000,1279.115863,1371.537604,2011-06-09
2011.437378,-0.170900,0.072100,13.102500,0.546559,0.000000,1279.126828,1371.549817,2011-06-10
2011.440063,-0.169400,0.072700,13.346700,0.545042,0.000000,1279.137520,1371.561693,2011-06-11
2011.442871,-0.169400,0.073100,13.562600,0.543588,0.000000,1279.148384,1371.573720,2011-06-12
2011.445557,-0.169400,0.073400,13.720900,0.542069,0.000000,1279.158443,1371.584814,2011-06-13
2011.448364,-0.167800,0.073500,13.801700,0.540621,0.000000,1279.168577,1371.595942,2011-06-14
2011.451050,-0.167800,0.073800,13.874600,0.539181,0.000000,1279.177885,1371.606111,2011-06-15
2011.453857,-0.166200,0.074200,13.975200,0.537686,0.000000,1279.187174,1371.616198,2011-06-16
2011.456543,-0.169500,0.074800,14.167300,0.536152,0.000000,1279.195614,1371.625300,2011-06-17
2011.459229,-0.171400,0.075800,14.420100,0.534391,0.000000,1279.203590,1371.633831,2011-06-18
2011.462036,-0.171400,0.077000,14.748300,0.532566,0.000000,1279.211420,1371.642125,2011-06-19
2011.464722,-0.174900,0.078000,15.071600,0.530522,0.000000,1279.218444,1371.649486,2011-06-20
2011.467529,-0.175000,0.078700,15.307600,0.528448,0.000000,1279.225311,1371.656596,2011-06-21
2011.470215,-0.175100,0.079100,15.487600,0.526268,0.000000,1279.231444,1371.662862,2011-06-22
2011.473022,-0.175100,0.079900,15.639700,0.523885,0.000000,1279.237413,1371.668868,2011-06-23
2011.475708,-0.173500,0.081000,15.828000,0.521518,0.000000,1279.242719,1371.674115,2011-06-24
2011.478394,-0.173700,0.082000,16.101200,0.518962,0.000000,1279.247642,1371.678891,2011-06-25
2011.481201,-0.173700,0.082100,16.306000,0.516451,0.000000,1279.252396,1371.683399,2011-06-26
2011.483887,-0.173700,0.082400,16.442600,0.513766,0.000000,1279.256584,1371.687270,2011-06-27
2011.486694,-0.173800,0.082700,16.573100,0.511152,0.000000,1279.260602,1371.690872,2011-06-28
2011.489380,-0.173800,0.083500,16.727100,0.508504,0.000000,1279.264119,1371.693913,2011-06-29
2011.492188,-0.175300,0.084500,16.994000,0.505709,0.000000,1279.267468,1371.696688,2011-06-30
2011.494873,-0.175200,0.085000,17.253300,0.503021,0.000000,1279.270374,1371.698975,2011-07-01
2011.497559,-0.173600,0.084900,17.383800,0.500206,0.000000,1279.273005,1371.700922,2011-07-02
2011.500366,-0.170300,0.085300,17.472300,0.497521,0.000000,1279.275477,1371.702612,2011-07-03
2011.503052,-0.167000,0.085900,17.670000,0.494731,0.000000,1279.277592,1371.703919,2011-07-04
2011.505859,-0.168800,0.086000,17.843200,0.492090,0.000000,1279.279557,1371.704980,2011-07-05
2011.508545,-0.165300,0.086000,17.945500,0.489486,0.000000,1279.281218,1371.705722,2011-07-06
2011.511353,-0.165400,0.086100,17.993700,0.486814,0.000000,1279.282742,1371.706234,2011-07-07
2011.514038,-0.163900,0.086300,18.094300,0.484318,0.000000,1279.284011,1371.706488,2011-07-08
2011.516724,-0.162600,0.086600,18.219900,0.481780,0.000000,1279.285112,1371.706532,2011-07-09
2011.519531,-0.162600,0.086800,18.362100,0.479433,0.000000,1279.286099,1371.706372,2011-07-10
2011.522217,-0.162700,0.087300,18.510500,0.477074,0.000000,1279.286902,1371.706041,2011-07-11
2011.525024,-0.162800,0.087500,18.627600,0.474918,0.000000,1279.287609,1371.705529,2011-07-12
2011.527710,-0.162800,0.087700,18.712300,0.472872,0.000000,1279.288176,1371.704899,2011-07-13
2011.530518,-0.161200,0.087900,18.806000,0.470859,0.000000,1279.288670,1371.704114,2011-07-14
2011.533203,-0.161200,0.088400,18.926200,0.469067,0.000000,1279.289064,1371.703263,2011-07-15
2011.535889,-0.161300,0.088500,19.013800,0.467342,0.000000,1279.289396,1371.702329,2011-07-16
2011.538696,-0.159800,0.088400,19.044800,0.465805,0.000000,1279.289693,1371.701287,2011-07-17
2011.541382,-0.159700,0.089000,19.148700,0.464223,0.000000,1279.289945,1371.700244,2011-07-18
2011.544189,-0.159800,0.089600,19.305300,0.462731,0.000000,1279.290189,1371.699125,2011-07-19
2011.546875,-0.156600,0.090300,19.411900,0.461261,0.000000,1279.290406,1371.698022,2011-07-20
2011.549683,-0.160200,0.091300,19.628700,0.459747,0.000000,1279.290611,1371.696824,2011-07-21
2011.552368,-0.160300,0.091800,19.788200,0.458322,0.000000,1279.290781,1371.695622,2011-07-22
2011.555054,-0.160500,0.092000,19.883100,0.456856,0.000000,1279.290921,1371.694354,2011-07-23
2011.557861,-0.160400,0.092100,19.934300,0.455477,0.000000,1279.291032,1371.692945,2011-07-24
2011.560547,-0.156800,0.092100,19.965200,0.454061,0.000000,1279.291098,1371.691506,2011-07-25
2011.563354,-0.156800,0.092000,20.013300,0.452730,0.000000,1279.291122,1371.689893,2011-07-26
2011.566040,-0.156700,0.091700,20.069900,0.451424,0.000000,1279.291097,1371.688234,2011-07-27
2011.568848,-0.156600,0.091700,20.131000,0.450085,0.000000,1279.291015,1371.686366,2011-07-28
2011.571533,-0.153200,0.091700,20.172500,0.448830,0.000000,1279.290880,1371.684439,2011-07-29
2011.574219,-0.153300,0.091200,20.151600,0.447546,0.000000,1279.290685,1371.682364,2011-07-30
2011.577026,-0.153200,0.091000,20.141900,0.446343,0.000000,1279.290412,1371.680023,2011-07-31
2011.579712,-0.151600,0.091100,20.222100,0.445115,0.000000,1279.290079,1371.677608,2011-08-01
2011.582520,-0.153300,0.091200,20.263000,0.443967,0.000000,1279.289654,1371.674886,2011-08-02
2011.585205,-0.149900,0.090800,20.190700,0.442846,0.000000,1279.289167,1371.672083,2011-08-03
2011.587891,-0.148100,0.090100,20.086900,0.441705,0.000000,1279.288598,1371.669071,2011-08-04
2011.590698,-0.149700,0.089900,20.054400,0.440641,0.000000,1279.287911,1371.665690,2011-08-05
2011.593384,-0.146300,0.089800,20.043500,0.439560,0.000000,1279.287160,1371.662219,2011-08-06
2011.596191,-0.144800,0.089400,20.024800,0.438555,0.000000,1279.286274,1371.658331,2011-08-07
2011.598877,-0.148000,0.088900,19.967400,0.437580,0.000000,1279.285324,1371.654351,2011-08-08
2011.601685,-0.148000,0.088800,19.926400,0.436592,0.000000,1279.284220,1371.649905,2011-08-09
2011.604370,-0.148000,0.088500,19.873600,0.435679,0.000000,1279.283052,1371.645370,2011-08-10
2011.607178,-0.146200,0.088200,19.825500,0.434756,0.000000,1279.281711,1371.640317,2011-08-11
2011.609863,-0.146100,0.087800,19.761600,0.433905,0.000000,1279.280308,1371.635176,2011-08-12
2011.612549,-0.146100,0.087200,19.685100,0.433050,0.000000,1279.278783,1371.629720,2011-08-13
2011.615356,-0.146200,0.086900,19.627100,0.432264,0.000000,1279.277055,1371.623671,2011-08-14
2011.618042,-0.146100,0.086300,19.578800,0.431510,0.000000,1279.275268,1371.617538,2011-08-15
2011.620850,-0.144500,0.085700,19.477800,0.430755,0.000000,1279.273255,1371.610753,2011-08-16
2011.623535,-0.142600,0.085000,19.388300,0.430036,0.000000,1279.271188,1371.603897,2011-08-17
2011.626221,-0.141000,0.084100,19.251900,0.429278,0.000000,1279.268977,1371.596666,2011-08-18
2011.629028,-0.137500,0.083400,19.100900,0.428550,0.000000,1279.266515,1371.588716,2011-08-19
2011.631714,-0.137600,0.082700,18.979500,0.427788,0.000000,1279.264026,1371.580750,2011-08-20
2011.634521,-0.132400,0.082000,18.896700,0.427061,0.000000,1279.261294,1371.572073,2011-08-21
2011.637207,-0.130700,0.081300,18.814700,0.426336,0.000000,1279.258566,1371.563452,2011-08-22
2011.640015,-0.129000,0.080500,18.739200,0.425584,0.000000,1279.255606,1371.554128,2011-08-23
2011.642700,-0.128800,0.079900,18.656200,0.424872,0.000000,1279.252683,1371.544936,2011-08-24
2011.645508,-0.127100,0.079200,18.550500,0.424137,0.000000,1279.249538,1371.535053,2011-08-25
2011.648193,-0.122000,0.079000,18.445900,0.423446,0.000000,1279.246459,1371.525367,2011-08-26
2011.650879,-0.122000,0.078900,18.424100,0.422737,0.000000,1279.243317,1371.515465,2011-08-27
2011.653687,-0.122100,0.078700,18.381000,0.422074,0.000000,1279.239977,1371.504906,2011-08-28
2011.656372,-0.123700,0.078400,18.321700,0.421429,0.000000,1279.236742,1371.494634,2011-08-29
2011.659180,-0.125400,0.078200,18.249600,0.420775,0.000000,1279.233325,1371.483727,2011-08-30
2011.661865,-0.123700,0.078000,18.187800,0.420171,0.000000,1279.230035,1371.473160,2011-08-31
2011.664551,-0.123700,0.078000,18.175000,0.419565,0.000000,1279.226734,1371.462476,2011-09-01
2011.667358,-0.123700,0.077800,18.120200,0.419010,0.000000,1279.223281,1371.451209,2011-09-02
2011.670044,-0.125300,0.077700,18.055600,0.418460,0.000000,1279.219987,1371.440352,2011-09-03
2011.672852,-0.125300,0.077600,18.001600,0.417963,0.000000,1279.216562,1371.428942,2011-09-04
2011.675537,-0.123500,0.077300,17.888800,0.417498,0.000000,1279.213317,1371.417995,2011-09-05
2011.678345,-0.121500,0.076700,17.642400,0.417048,0.000000,1279.209965,1371.406530,2011-09-06
2011.681030,-0.118200,0.075700,17.326400,0.416653,0.000000,1279.206809,1371.395571,2011-09-07
2011.683716,-0.113000,0.075000,17.018300,0.416279,0.000000,1279.203711,1371.384631,2011-09-08
2011.686523,-0.109700,0.074100,16.713500,0.415963,0.000000,1279.200547,1371.373244,2011-09-09
2011.689209,-0.104600,0.073400,16.447100,0.415676,0.000000,1279.197599,1371.362412,2011-09-10
2011.692017,-0.101200,0.072800,16.231000,0.415446,0.000000,1279.194612,1371.351175,2011-09-11
2011.694702,-0.097800,0.072400,16.049800,0.415262,0.000000,1279.191857,1371.340535,2011-09-12
2011.697510,-0.096100,0.071700,15.858500,0.415120,0.000000,1279.189091,1371.329538,2011-09-13
2011.700195,-0.094400,0.071300,15.704800,0.415035,0.000000,1279.186568,1371.319166,2011-09-14
2011.702881,-0.091000,0.071000,15.598600,0.415000,0.000000,1279.184173,1371.308952,2011-09-15
2011.705688,-0.094100,0.070900,15.531200,0.415042,0.000000,1279.181818,1371.298470,2011-09-16
2011.708374,-0.092400,0.070700,15.427100,0.415192,0.000000,1279.179717,1371.288645,2011-09-17
2011.711182,-0.087300,0.070000,15.178500,0.415432,0.000000,1279.177685,1371.278602,2011-09-18
2011.713867,-0.083900,0.069600,14.945300,0.415759,0.000000,1279.175898,1371.269221,2011-09-19
2011.716675,-0.083800,0.069400,14.764800,0.416189,0.000000,1279.174187,1371.259642,2011-09-20
2011.719360,-0.083600,0.069100,14.590000,0.416679,0.000000,1279.172696,1371.250702,2011-09-21
2011.722046,-0.078600,0.068800,14.434200,0.417266,0.000000,1279.171343,1371.241976,2011-09-22
2011.724854,-0.075200,0.068400,14.235400,0.417893,0.000000,1279.170071,1371.233083,2011-09-23
2011.727539,-0.076800,0.068000,14.036700,0.418613,0.000000,1279.168987,1371.224801,2011-09-24
2011.730347,-0.070000,0.067900,13.845400,0.419355,0.000000,1279.167987,1371.216368,2011-09-25
2011.733032,-0.073300,0.067400,13.564300,0.420144,0.000000,1279.167152,1371.208525,2011-09-26
2011.735840,-0.068200,0.066600,13.165400,0.421013,0.000000,1279.166403,1371.200553,2011-09-27
2011.738525,-0.063100,0.065900,12.811400,0.421881,0.000000,1279.165800,1371.193148,2011-09-28
2011.741211,-0.058200,0.065300,12.541900,0.422820,0.000000,1279.165302,1371.185955,2011-09-29
2011.744019,-0.056400,0.064700,12.318800,0.423743,0.000000,1279.164891,1371.178665,2011-09-30
2011.746704,-0.056400,0.064300,12.101000,0.424726,0.000000,1279.164597,1371.171912,2011-10-01
2011.749512,-0.052900,0.064200,11.908800,0.425680,0.000000,1279.164388,1371.165079,2011-10-02
2011.752197,-0.049700,0.063600,11.614900,0.426640,0.000000,1279.164279,1371.158763,2011-10-03
2011.755005,-0.046300,0.063300,11.285200,0.427644,0.000000,1279.164253,1371.152385,2011-10-04
2011.757690,-0.046200,0.063100,11.057400,0.428599,0.000000,1279.164309,1371.146504,2011-10-05
2011.760376,-0.041300,0.062700,10.812400,0.429585,0.000000,1279.164439,1371.140834,2011-10-06
2011.763184,-0.036300,0.062100,10.465800,0.430512,0.000000,1279.164649,1371.135134,2011-10-07
2011.765869,-0.033000,0.061600,10.175300,0.431456,0.000000,1279.164917,1371.129900,2011-10-08
2011.768677,-0.029700,0.060900,9.836470,0.432330,0.000000,1279.165262,1371.124654,2011-10-09
2011.771362,-0.024800,0.060200,9.491300,0.433169,0.000000,1279.165648,1371.119853,2011-10-10
2011.774170,-0.023100,0.059400,9.198520,0.434003,0.000000,1279.166108,1371.115059,2011-10-11
