stnm lon lat elev sta Tmax Tmin sta2 dvamp
BGU -113.030 40.921 1640.0 BGU 10.13 6.17 BGU 0.45
BRPU -110.740 39.473 1687.0 BRPU 1.23 10.40 BRPU 0.28
BSUT -110.761 40.536 3211.0 BSUT 11.53 5.90 BSUT 0.82
CTU -111.750 40.693 1731.0 CTU 9.93 5.47 CTU 1.16
CVRU -111.172 38.918 1912.0 CVRU 10.70 3.70 CVRU 0.40
DUG -112.8133 40.195 1477.0 DUG 9.53 5.20 DUG 0.19
FOR1 -113.094 38.369 1642.0 FOR1 9.67 3.00 FOR1 0.25
FORU -112.861 38.459 1840.0 FORU 12.00 4.43 FORU 0.64
HMU -110.742 37.938 2430.0 HMU 12.77 4.43 HMU 0.23
HVU1 -112.775 41.780 1609.0 HVU 9.57 3.97 HVU 1.00
HVU2 -112.775 41.780 1609.0 HVU 9.57 3.97 HVU 1.00
HWUT -111.5652 41.6069 1830.0 HWUT 1.07 5.87 HWUT 0.34
JLU -111.450 40.602 2285.0 JLU 1.43 9.27 JLU 0.89
LCMT -113.244 37.012 1411.0 LCMT 9.17 4.13 LCMT 0.39
LIUT -110.325 39.424 2178.0 LIUT 9.17 3.37 LIUT 0.84
MPU -111.633 40.016 1909.0 MPU 9.87 5.27 MPU 0.58
MTPU -112.184 38.041 3112.0 MTPU 11.30 3.70 MTPU 0.09
NLU -112.075 39.955 2036.0 NLU 1.53 6.03 NLU 0.22
NOQ -112.120 40.653 1622.0 NOQ 10.33 4.53 NOQ 0.57
PNSU -110.246 39.628 2743.0 PNSU 9.27 5.27 PNSU 0.17
PSUT -113.855 38.534 1999.0 PSUT 9.43 5.90 PSUT 0.11
RDMU -109.570 40.571 2087.0 RDMU 10.80 3.73 RDMU 0.40
SPU -112.449 41.309 2086.0 SPU 8.63 4.67 SPU 0.43
SRU -110.524 39.111 1804.0 SRU 9.73 3.97 SRU 0.81
SWUT -113.195 39.329 1644.0 SWUT 9.83 4.43 SWUT 0.37
SZCU -113.088 37.595 2026.0 SZCU 9.23 5.90 SZCU 0.40
TCRU -112.447 38.609 2293.0 TCRU 10.03 4.43 TCRU 0.24
TCU -111.408 41.117 2269.0 TCU 10.93 5.90 TCU 0.50
VRUT1 -113.857 37.462 1874.0 VRUT 13.10 9.17 VRUT 0.20
VRUT2 -113.857 37.462 1874.0 VRUT 13.10 9.17 VRUT 0.20
