lon,lat,dep,Vs
-113.90,37.20,0,1.77
-113.90,37.20,1,2.71
-113.90,37.20,2,2.71
-113.90,37.20,3,2.71
-113.90,37.20,4,3.49
-113.90,37.20,5,3.49
-113.90,37.40,0,1.73
-113.90,37.40,1,2.71
-113.90,37.40,2,2.71
-113.90,37.40,3,2.71
-113.90,37.40,4,3.48
-113.90,37.40,5,3.48
-113.90,37.60,0,1.69
-113.90,37.60,1,2.74
-113.90,37.60,2,2.74
-113.90,37.60,3,2.74
-113.90,37.60,4,3.47
-113.90,37.60,5,3.47
-113.90,37.80,0,1.64
-113.90,37.80,1,2.78
-113.90,37.80,2,2.78
-113.90,37.80,3,2.78
-113.90,37.80,4,3.47
-113.90,37.80,5,3.47
-113.90,38.00,0,1.63
-113.90,38.00,1,2.85
-113.90,38.00,2,2.85
-113.90,38.00,3,2.85
-113.90,38.00,4,3.47
-113.90,38.00,5,3.47
-113.90,38.20,0,1.64
-113.90,38.20,1,2.93
-113.90,38.20,2,2.93
-113.90,38.20,3,2.93
-113.90,38.20,4,3.48
-113.90,38.20,5,3.48
-113.90,38.40,0,1.65
-113.90,38.40,1,3.05
-113.90,38.40,2,3.05
-113.90,38.40,3,3.05
-113.90,38.40,4,3.49
-113.90,38.40,5,3.49
-113.90,38.60,0,1.73
-113.90,38.60,1,3.13
-113.90,38.60,2,3.13
-113.90,38.60,3,3.13
-113.90,38.60,4,3.49
-113.90,38.60,5,3.49
-113.90,38.80,0,1.97
-113.90,38.80,1,3.04
-113.90,38.80,2,3.04
-113.90,38.80,3,3.04
-113.90,38.80,4,3.52
-113.90,38.80,5,3.52
-113.90,39.00,0,2.18
-113.90,39.00,1,2.97
-113.90,39.00,2,2.97
-113.90,39.00,3,2.97
-113.90,39.00,4,3.53
-113.90,39.00,5,3.53
-113.90,39.20,0,2.21
-113.90,39.20,1,2.99
-113.90,39.20,2,2.99
-113.90,39.20,3,2.99
-113.90,39.20,4,3.52
-113.90,39.20,5,3.52
-113.90,39.40,0,2.16
-113.90,39.40,1,3.01
-113.90,39.40,2,3.01
-113.90,39.40,3,3.01
-113.90,39.40,4,3.52
-113.90,39.40,5,3.52
-113.90,39.60,0,1.94
-113.90,39.60,1,3.13
-113.90,39.60,2,3.13
-113.90,39.60,3,3.13
-113.90,39.60,4,3.51
-113.90,39.60,5,3.51
-113.90,39.80,0,1.89
-113.90,39.80,1,3.13
